Price,Close,High,Low,Open,Volume
Ticker,ARVEE.NS,ARVEE.NS,ARVEE.NS,ARVEE.NS,ARVEE.NS
Date,,,,,
2018-02-22,31.25,33.25,30.25,30.475000381469727,1504000
2018-02-23,30.450000762939453,31.0,30.450000762939453,30.5,56000
2018-02-26,30.399999618530273,30.600000381469727,30.100000381469727,30.5,256000
2018-02-27,29.0,30.174999237060547,29.0,30.024999618530273,516000
2018-02-28,28.049999237060547,28.174999237060547,28.024999618530273,28.024999618530273,196000
2018-03-01,28.0,28.0,27.524999618530273,27.524999618530273,8000
2018-03-05,28.0,28.0,28.0,28.0,0
2018-03-06,29.225000381469727,29.225000381469727,28.5,29.225000381469727,12000
2018-03-07,30.0,30.0,29.75,29.75,8000
2018-03-08,30.024999618530273,31.625,24.549999237060547,30.0,124000
2018-03-09,30.024999618530273,30.024999618530273,30.024999618530273,30.024999618530273,0
2018-03-12,30.024999618530273,30.024999618530273,30.024999618530273,30.024999618530273,0
2018-03-13,29.5,29.5,29.5,29.5,4000
2018-03-14,29.399999618530273,29.5,29.399999618530273,29.5,8000
2018-03-15,29.399999618530273,29.399999618530273,29.399999618530273,29.399999618530273,0
2018-03-16,29.399999618530273,29.399999618530273,29.399999618530273,29.399999618530273,0
2018-03-19,30.75,30.75,29.5,30.225000381469727,16000
2018-03-20,29.5,30.75,29.5,30.75,8000
2018-03-21,29.75,29.75,29.75,29.75,4000
2018-03-22,30.0,31.0,30.0,31.0,52000
2018-03-23,29.975000381469727,29.975000381469727,25.25,25.25,88000
2018-03-26,30.549999237060547,30.549999237060547,25.5,25.5,88000
2018-03-27,29.0,29.0,28.5,28.5,8000
2018-03-28,30.450000762939453,30.450000762939453,30.450000762939453,30.450000762939453,4000
2018-04-02,30.450000762939453,30.450000762939453,30.450000762939453,30.450000762939453,0
2018-04-03,28.75,28.75,28.75,28.75,4000
2018-04-04,28.75,28.75,28.75,28.75,0
2018-04-05,28.75,28.75,28.75,28.75,0
2018-04-06,28.75,28.75,28.75,28.75,0
2018-04-09,28.75,28.75,28.75,28.75,0
2018-04-10,28.75,28.75,28.75,28.75,0
2018-04-11,28.75,28.75,28.75,28.75,0
2018-04-12,28.75,28.75,28.75,28.75,0
2018-04-13,28.75,28.75,28.75,28.75,0
2018-04-16,28.75,28.75,28.75,28.75,0
2018-04-17,28.75,28.75,28.75,28.75,0
2018-04-18,28.75,28.75,28.75,28.75,0
2018-04-19,28.75,28.75,28.75,28.75,0
2018-04-20,28.75,28.75,28.75,28.75,0
2018-04-23,28.75,28.75,28.75,28.75,0
2018-04-24,28.75,28.75,28.75,28.75,0
2018-04-25,28.75,28.75,28.75,28.75,0
2018-04-26,28.75,28.75,28.75,28.75,0
2018-04-27,28.75,28.75,28.75,28.75,0
2018-04-30,28.75,28.75,28.75,28.75,0
2018-05-02,28.75,28.75,28.75,28.75,0
2018-05-03,28.75,28.75,28.75,28.75,0
2018-05-04,28.75,28.75,28.75,28.75,0
2018-05-07,28.75,28.75,28.75,28.75,0
2018-05-08,28.0,28.0,28.0,28.0,4000
2018-05-09,28.0,28.0,28.0,28.0,0
2018-05-10,28.0,28.0,28.0,28.0,0
2018-05-11,28.0,28.0,28.0,28.0,0
2018-05-14,28.0,28.0,28.0,28.0,0
2018-05-15,28.0,28.0,28.0,28.0,0
2018-05-16,28.0,28.0,28.0,28.0,0
2018-05-17,28.0,28.0,28.0,28.0,0
2018-05-18,28.0,28.0,28.0,28.0,0
2018-05-21,28.0,28.0,28.0,28.0,0
2018-05-22,28.0,28.0,28.0,28.0,0
2018-05-23,28.0,28.0,28.0,28.0,0
2018-05-24,28.0,28.0,28.0,28.0,0
2018-05-25,28.0,28.0,28.0,28.0,0
2018-05-28,28.0,28.0,28.0,28.0,0
2018-05-29,28.0,28.0,28.0,28.0,0
2018-05-30,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,4000
2018-05-31,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0
2018-06-01,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0
2018-06-04,28.424999237060547,28.424999237060547,26.549999237060547,26.549999237060547,8000
2018-06-05,28.424999237060547,28.424999237060547,28.424999237060547,28.424999237060547,0
2018-06-06,28.424999237060547,28.424999237060547,28.424999237060547,28.424999237060547,0
2018-06-07,28.424999237060547,28.424999237060547,28.424999237060547,28.424999237060547,0
2018-06-08,28.424999237060547,28.424999237060547,28.424999237060547,28.424999237060547,0
2018-06-11,28.424999237060547,28.424999237060547,28.424999237060547,28.424999237060547,0
2018-06-12,28.424999237060547,28.424999237060547,28.424999237060547,28.424999237060547,0
2018-06-13,26.5,26.5,26.5,26.5,4000
2018-06-14,26.5,26.5,26.5,26.5,0
2018-06-15,26.5,26.5,26.5,26.5,0
2018-06-18,26.5,26.5,26.5,26.5,0
2018-06-19,26.5,26.5,26.5,26.5,0
2018-06-20,26.5,26.5,26.5,26.5,0
2018-06-21,26.5,26.5,26.5,26.5,0
2018-06-22,26.5,26.5,26.5,26.5,0
2018-06-25,25.5,25.5,25.5,25.5,4000
2018-06-26,25.5,25.5,25.5,25.5,0
2018-06-27,25.5,25.5,25.5,25.5,0
2018-06-28,25.5,25.5,25.5,25.5,0
2018-06-29,25.5,25.5,25.5,25.5,0
2018-07-02,25.5,25.5,25.5,25.5,0
2018-07-03,25.5,25.5,25.5,25.5,0
2018-07-04,25.5,25.5,25.5,25.5,0
2018-07-05,25.5,25.5,25.5,25.5,0
2018-07-06,25.5,25.5,25.5,25.5,0
2018-07-09,25.5,25.5,25.5,25.5,0
2018-07-10,25.5,25.5,25.5,25.5,0
2018-07-11,25.5,25.5,25.5,25.5,0
2018-07-12,25.5,25.5,25.5,25.5,0
2018-07-13,25.5,25.5,25.5,25.5,0
2018-07-16,25.5,25.5,25.5,25.5,0
2018-07-17,25.5,25.5,25.5,25.5,0
2018-07-18,25.5,25.5,25.5,25.5,0
2018-07-19,25.5,25.5,25.5,25.5,0
2018-07-20,25.5,25.5,25.5,25.5,0
2018-07-23,25.5,25.5,25.5,25.5,0
2018-07-24,25.5,25.5,25.5,25.5,0
2018-07-25,25.5,25.5,25.5,25.5,0
2018-07-26,25.5,25.5,25.5,25.5,0
2018-07-27,25.5,25.5,25.5,25.5,0
2018-07-30,28.274999618530273,28.274999618530273,28.274999618530273,28.274999618530273,4000
2018-07-31,28.274999618530273,28.274999618530273,28.274999618530273,28.274999618530273,0
2018-08-01,26.0,27.450000762939453,26.0,27.450000762939453,12000
2018-08-02,26.0,26.0,26.0,26.0,0
2018-08-03,26.0,26.0,26.0,26.0,0
2018-08-06,26.0,26.0,26.0,26.0,0
2018-08-07,26.0,26.0,26.0,26.0,0
2018-08-08,26.0,26.0,26.0,26.0,0
2018-08-09,26.0,26.0,26.0,26.0,0
2018-08-10,26.0,26.0,26.0,26.0,0
2018-08-13,26.0,26.0,26.0,26.0,0
2018-08-14,26.0,26.0,26.0,26.0,0
2018-08-16,26.0,26.0,26.0,26.0,0
