Price,Close,High,Low,Open,Volume
Ticker,ASHIMASYN.NS,ASHIMASYN.NS,ASHIMASYN.NS,ASHIMASYN.NS,ASHIMASYN.NS
Date,,,,,
2010-01-04,4.760756015777588,4.9143290519714355,4.6455769538879395,4.6455769538879395,70819
2010-01-05,4.991115093231201,5.183081150054932,4.60718297958374,4.60718297958374,93424
2010-01-06,4.875936031341553,5.183081150054932,4.683969974517822,5.144688129425049,23656
2010-01-07,4.9143290519714355,5.0295090675354,4.683969974517822,4.722362995147705,56827
2010-01-08,5.9125518798828125,5.9125518798828125,4.991115093231201,4.991115093231201,326336
2010-01-11,5.87415885925293,7.0259552001953125,4.799149036407471,6.450057029724121,364640
2010-01-12,5.643799781799316,5.9125518798828125,5.451834201812744,5.451834201812744,118898
2010-01-13,5.451834201812744,5.950944900512695,5.375047206878662,5.758978843688965,248626
2010-01-14,5.682192802429199,6.450057029724121,5.528619766235352,5.528619766235352,91772
2010-01-15,5.605405807495117,5.835765838623047,5.490227222442627,5.758978843688965,74630
2010-01-18,5.490227222442627,5.758978843688965,5.375047206878662,5.758978843688965,39736
2010-01-19,5.259868144989014,5.490227222442627,4.41521692276001,4.41521692276001,39121
2010-01-20,5.144688129425049,5.413440227508545,5.067902088165283,5.413440227508545,43657
2010-01-21,4.875936031341553,5.375047206878662,4.83754301071167,5.144688129425049,67273
2010-01-22,4.991115093231201,4.991115093231201,4.6455769538879395,4.9143290519714355,222741
2010-01-25,4.9143290519714355,5.067902088165283,4.760756015777588,4.760756015777588,4801
2010-01-27,4.683969974517822,4.760756015777588,4.683969974517822,4.760756015777588,4526
2010-01-28,4.453610897064209,4.683969974517822,4.453610897064209,4.683969974517822,27447
2010-01-29,4.530396938323975,4.530396938323975,4.2616448402404785,4.2616448402404785,31618
2010-02-01,4.722362995147705,4.760756015777588,4.300037860870361,4.453610897064209,11121
2010-02-02,4.799149036407471,4.952722072601318,4.492003917694092,4.952722072601318,5282
2010-02-03,4.6455769538879395,4.799149036407471,4.568789958953857,4.799149036407471,13945
2010-02-04,4.41521692276001,4.530396938323975,4.41521692276001,4.41521692276001,5026
2010-02-05,4.223250865936279,4.453610897064209,4.223250865936279,4.376823902130127,6628
2010-02-08,4.069678783416748,4.2616448402404785,3.992892026901245,4.069678783416748,14209
2010-02-09,3.992892026901245,4.300037860870361,3.9544990062713623,4.069678783416748,9051
2010-02-10,4.031284809112549,4.223250865936279,3.9161059856414795,3.9161059856414795,9078
2010-02-11,4.1848578453063965,4.2616448402404785,4.031284809112549,4.223250865936279,13073
2010-02-15,4.223250865936279,4.223250865936279,4.108071804046631,4.223250865936279,9669
2010-02-16,4.376823902130127,4.453610897064209,4.069678783416748,4.146464824676514,13704
2010-02-17,4.492003917694092,4.60718297958374,4.453610897064209,4.453610897064209,11168
2010-02-18,4.300037860870361,4.6455769538879395,4.300037860870361,4.376823902130127,5942
2010-02-19,4.108071804046631,4.530396938323975,4.108071804046631,4.530396938323975,7265
2010-02-22,4.108071804046631,4.300037860870361,4.108071804046631,4.300037860870361,8823
2010-02-23,3.9161059856414795,4.031284809112549,3.9161059856414795,3.9544990062713623,12661
2010-02-24,3.724139928817749,3.8393189907073975,3.724139928817749,3.8009259700775146,15922
2010-02-25,3.8393189907073975,3.9161059856414795,3.685746908187866,3.8393189907073975,20965
2010-02-26,3.724139928817749,3.992892026901245,3.647352933883667,3.647352933883667,15582
2010-03-02,3.9161059856414795,3.9161059856414795,3.9161059856414795,3.9161059856414795,10059
2010-03-03,3.9544990062713623,4.108071804046631,3.8393189907073975,4.108071804046631,5517
2010-03-04,4.108071804046631,4.108071804046631,3.8393189907073975,3.8393189907073975,8664
2010-03-05,4.223250865936279,4.2616448402404785,4.031284809112549,4.108071804046631,10062
2010-03-08,4.069678783416748,4.376823902130127,3.992892026901245,4.376823902130127,31443
2010-03-09,3.8009259700775146,4.108071804046631,3.8009259700775146,4.108071804046631,25695
2010-03-10,3.8009259700775146,4.031284809112549,3.8009259700775146,4.031284809112549,10294
2010-03-11,3.8393189907073975,3.992892026901245,3.762532949447632,3.992892026901245,7444
2010-03-12,3.762532949447632,3.9544990062713623,3.762532949447632,3.8393189907073975,4642
2010-03-15,3.608959913253784,3.8009259700775146,3.5321741104125977,3.724139928817749,19078
2010-03-16,3.5705668926239014,3.685746908187866,3.493781089782715,3.647352933883667,17655
