Price,Close,High,Low,Open,Volume
Ticker,ASKAUTOLTD.NS,ASKAUTOLTD.NS,ASKAUTOLTD.NS,ASKAUTOLTD.NS,ASKAUTOLTD.NS
Date,,,,,
2023-11-15,308.46429443359375,315.02948690669143,301.70014477537615,301.70014477537615,21693570
2023-11-16,312.1945495605469,318.0136987875542,309.3595763108143,315.32792826536377,4725578
2023-11-17,308.5140075683594,317.11837427789715,304.58486133325886,310.3542552170891,2579193
2023-11-20,298.5170593261719,309.8071972017002,290.80793849070005,308.51403613791547,2760212
2023-11-21,296.9751892089844,305.8779916785292,296.1296970945052,300.45672732565055,1936376
2023-11-22,289.3655700683594,300.20806925631126,288.47032341185064,297.1244452568484,894399
2023-11-23,291.5539855957031,300.50651311436377,289.76346187800715,291.5042311177467,1042513
2023-11-24,292.94659423828125,294.8365661943037,291.5539849210335,293.0957969585924,353653
2023-11-28,294.63763427734375,300.55623136284504,293.4936759425827,295.6820836581364,728239
2023-11-29,291.9021301269531,298.0694083229501,291.4544916319754,297.32336440239044,668376
2023-11-30,293.2449951171875,294.88631608489663,288.66928319692533,293.04606827873596,563831
2023-12-01,294.3392028808594,296.42813203024616,291.9021441704134,296.22917483254975,421481
2023-12-04,287.97296142578125,292.8968635824395,284.4914230320326,290.7581799981379,1145440
2023-12-05,284.24273681640625,290.90740805500604,283.049054387921,289.46504431697014,574264
2023-12-06,284.9888000488281,289.91270245409476,283.74539341685244,285.4861627016184,658851
2023-12-07,284.8893127441406,287.77400997088097,283.69566062787203,287.37612593212475,259131
2023-12-08,275.73785400390625,285.9337879111139,274.0468089205563,284.98878677219375,618624
2023-12-11,278.2744140625,282.40251815510817,276.13576065130377,277.5283700569705,341149
2023-12-12,284.8893127441406,286.97824189336853,275.68810394859935,278.2743957354241,998633
2023-12-13,289.66400146484375,292.44921998876134,280.06487863230944,284.889302108207,605804
2023-12-14,288.1719055175781,296.2789099088245,286.08297650498224,293.49366110649527,706497
2023-12-15,285.6353454589844,290.9074074239856,284.04377900999145,290.85765294822033,296354
2023-12-18,280.3633117675781,287.4755910811365,278.52306402324643,285.63534333680474,303237
2023-12-19,285.33697509765625,287.5253526719354,280.51255103861365,282.99936443434603,310206
2023-12-20,274.892333984375,287.7242838749803,273.54944880075914,287.7242838749803,433476
2023-12-21,278.8712463378906,281.4077837321828,269.96844268325987,273.5494598655485,668496
2023-12-22,278.3738708496094,280.71148128837376,276.036260410845,280.41304549558765,185900
2023-12-26,278.5230712890625,279.3685938267969,274.64364886742885,278.4733471689746,155437
2023-12-27,283.5464172363281,284.49141835602694,276.53361644397023,278.62254551720616,485531
2023-12-28,286.5803527832031,290.85765924820083,285.0385104199741,286.92851269468105,415721
2023-12-29,288.9676818847656,291.25553779146935,284.5411424292588,289.7634499332004,486018
