Price,Close,High,Low,Open,Volume
Ticker,BLUECOAST.NS,BLUECOAST.NS,BLUECOAST.NS,BLUECOAST.NS,BLUECOAST.NS
Date,,,,,
2010-01-04,113.25,113.25,113.25,113.25,50
2010-01-05,118.94999694824219,118.94999694824219,118.94999694824219,118.94999694824219,125
2010-01-06,118.94999694824219,118.94999694824219,118.94999694824219,118.94999694824219,0
2010-01-07,118.94999694824219,118.94999694824219,118.94999694824219,118.94999694824219,0
2010-01-08,124.9000015258789,124.9000015258789,124.9000015258789,124.9000015258789,30
2010-01-11,125.3499984741211,131.10000610351562,120.69999694824219,131.10000610351562,215
2010-01-12,121.0,130.0,121.0,130.0,410
2010-01-13,126.94999694824219,127.0,115.05000305175781,127.0,15805
2010-01-14,126.94999694824219,126.94999694824219,126.94999694824219,126.94999694824219,0
2010-01-15,126.94999694824219,126.94999694824219,126.94999694824219,126.94999694824219,0
2010-01-18,133.3000030517578,133.3000030517578,120.69999694824219,120.69999694824219,2100
2010-01-19,130.0,140.0,127.0,133.0,165
2010-01-20,124.0,132.89999389648438,124.0,126.3499984741211,654
2010-01-21,130.1999969482422,130.1999969482422,122.25,130.1999969482422,213
2010-01-22,130.0,130.0,130.0,130.0,0
2010-01-25,130.0,130.0,130.0,130.0,0
2010-01-27,136.6999969482422,136.6999969482422,136.6999969482422,136.6999969482422,50
2010-01-28,130.0,130.0,130.0,130.0,0
2010-01-29,138.6999969482422,138.6999969482422,130.10000610351562,130.10000610351562,850
2010-02-01,140.6999969482422,140.6999969482422,133.0,135.0,53
2010-02-02,133.6999969482422,142.3000030517578,133.6999969482422,142.3000030517578,30
2010-02-03,139.89999389648438,139.89999389648438,130.0,130.0,20
2010-02-04,133.0,133.0,133.0,133.0,273
2010-02-05,138.3000030517578,139.3000030517578,127.05000305175781,139.3000030517578,77
2010-02-08,137.35000610351562,139.89999389648438,132.0,132.10000610351562,1477
2010-02-09,139.89999389648438,139.89999389648438,135.0,138.0,202
2010-02-10,139.89999389648438,139.89999389648438,139.89999389648438,139.89999389648438,0
2010-02-11,136.1999969482422,139.64999389648438,133.0,133.0,1005
2010-02-15,136.1999969482422,136.1999969482422,136.1999969482422,136.1999969482422,0
2010-02-16,138.9499969482422,138.9499969482422,138.9499969482422,138.9499969482422,1
2010-02-17,132.0,139.9499969482422,132.0,139.9499969482422,401
2010-02-18,133.0,138.0,128.0,128.0,101
2010-02-19,139.60000610351562,139.60000610351562,139.60000610351562,139.60000610351562,94
2010-02-22,139.60000610351562,139.60000610351562,139.60000610351562,139.60000610351562,0
2010-02-23,139.60000610351562,139.60000610351562,139.60000610351562,139.60000610351562,0
2010-02-24,146.5,146.5,146.5,146.5,1
2010-02-25,146.5,146.5,146.5,146.5,0
2010-02-26,139.1999969482422,139.1999969482422,139.1999969482422,139.1999969482422,50
2010-03-02,132.25,132.5,132.25,132.5,150
2010-03-03,132.25,132.25,132.25,132.25,0
2010-03-04,132.25,132.25,132.25,132.25,0
2010-03-05,132.25,132.25,132.25,132.25,0
2010-03-08,132.25,132.25,132.25,132.25,0
2010-03-09,132.25,132.25,132.25,132.25,0
2010-03-10,132.25,132.25,132.25,132.25,0
2010-03-11,132.25,132.25,132.25,132.25,0
2010-03-12,132.25,132.25,132.25,132.25,0
2010-03-15,132.25,132.25,132.25,132.25,0
2010-03-16,129.5,132.25,126.0,132.25,215
2010-03-17,130.0,130.0,130.0,130.0,130
2010-03-18,130.0,130.0,130.0,130.0,0
2010-03-19,130.0,130.0,130.0,130.0,0
2010-03-22,130.0500030517578,130.0500030517578,130.0500030517578,130.0500030517578,500
2010-03-23,130.0500030517578,130.0500030517578,130.0500030517578,130.0500030517578,0
2010-03-25,127.0999984741211,127.0999984741211,127.0999984741211,127.0999984741211,1
2010-03-26,133.5,133.5,133.4499969482422,133.4499969482422,211
2010-03-29,139.0,139.0,138.9499969482422,138.9499969482422,120
2010-03-30,139.0,139.0,139.0,139.0,0
2010-03-31,132.0500030517578,132.0500030517578,132.0500030517578,132.0500030517578,35
2010-04-01,132.0500030517578,132.0500030517578,132.0500030517578,132.0500030517578,0
2010-04-05,138.64999389648438,138.64999389648438,137.10000610351562,137.10000610351562,11
2010-04-06,143.8000030517578,143.8000030517578,143.8000030517578,143.8000030517578,4
2010-04-07,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,1
2010-04-08,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-09,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-12,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-13,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-15,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-16,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-19,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-20,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-21,136.64999389648438,136.64999389648438,136.64999389648438,136.64999389648438,0
2010-04-22,136.85000610351562,136.85000610351562,136.85000610351562,136.85000610351562,100
2010-04-23,130.10000610351562,130.10000610351562,130.10000610351562,130.10000610351562,2
2010-04-26,132.0500030517578,132.0500030517578,132.0500030517578,132.0500030517578,30
2010-04-27,132.0500030517578,132.0500030517578,132.0500030517578,132.0500030517578,0
2010-04-28,132.0500030517578,132.0500030517578,132.0500030517578,132.0500030517578,0
2010-04-29,132.0500030517578,132.0500030517578,132.0500030517578,132.0500030517578,0
2010-04-30,138.60000610351562,138.60000610351562,138.5,138.5,31
2010-05-03,138.60000610351562,138.60000610351562,138.60000610351562,138.60000610351562,0
2010-05-04,135.0,135.0,131.75,131.75,263
2010-05-05,141.4499969482422,141.5,128.3000030517578,129.0,1315
2010-05-06,141.10000610351562,141.10000610351562,141.10000610351562,141.10000610351562,225
2010-05-07,147.89999389648438,147.89999389648438,147.89999389648438,147.89999389648438,1
2010-05-10,140.5,140.5,140.5,140.5,110
2010-05-11,141.0,141.0,141.0,141.0,150
2010-05-12,141.0,141.0,141.0,141.0,0
2010-05-13,136.0,136.0,136.0,136.0,5
2010-05-14,136.0,136.0,136.0,136.0,0
2010-05-17,134.1999969482422,134.1999969482422,134.1999969482422,134.1999969482422,4
2010-05-18,134.1999969482422,134.1999969482422,134.1999969482422,134.1999969482422,0
2010-05-19,134.1999969482422,134.1999969482422,134.1999969482422,134.1999969482422,0
2010-05-20,128.0,128.0,128.0,128.0,4
2010-05-21,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,25
2010-05-24,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,0
2010-05-25,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,0
2010-05-26,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,0
2010-05-27,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,0
2010-05-28,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,0
2010-05-31,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,0
2010-06-01,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,0
2010-06-02,127.69999694824219,127.69999694824219,127.69999694824219,127.69999694824219,100
2010-06-03,127.69999694824219,127.69999694824219,127.69999694824219,127.69999694824219,0
2010-06-04,127.69999694824219,127.69999694824219,127.69999694824219,127.69999694824219,0
2010-06-07,127.69999694824219,127.69999694824219,127.69999694824219,127.69999694824219,0
2010-06-08,127.69999694824219,127.69999694824219,127.69999694824219,127.69999694824219,0
2010-06-09,127.69999694824219,127.69999694824219,127.69999694824219,127.69999694824219,0
2010-06-10,127.69999694824219,127.69999694824219,127.69999694824219,127.69999694824219,0
2010-06-11,134.10000610351562,134.10000610351562,134.10000610351562,134.10000610351562,2
2010-06-14,140.85000610351562,140.85000610351562,132.60000610351562,132.60000610351562,100
2010-06-15,140.85000610351562,140.85000610351562,140.85000610351562,140.85000610351562,0
2010-06-16,140.85000610351562,140.85000610351562,140.85000610351562,140.85000610351562,0
2010-06-17,140.85000610351562,140.85000610351562,140.85000610351562,140.85000610351562,0
2010-06-18,146.89999389648438,146.89999389648438,146.89999389648438,146.89999389648438,10
2010-06-21,146.89999389648438,146.89999389648438,146.89999389648438,146.89999389648438,1
2010-06-22,143.0,154.0,141.3000030517578,146.89999389648438,2173
2010-06-23,145.0,150.14999389648438,139.8000030517578,150.14999389648438,52
2010-06-24,137.89999389648438,137.89999389648438,137.89999389648438,137.89999389648438,18
2010-06-25,137.14999389648438,144.0,137.14999389648438,144.0,105
2010-06-28,137.14999389648438,137.14999389648438,137.14999389648438,137.14999389648438,0
2010-06-29,137.14999389648438,137.14999389648438,137.14999389648438,137.14999389648438,0
2010-06-30,137.14999389648438,137.14999389648438,137.14999389648438,137.14999389648438,0
2010-07-01,137.14999389648438,137.14999389648438,137.14999389648438,137.14999389648438,0
2010-07-02,137.14999389648438,137.14999389648438,137.14999389648438,137.14999389648438,0
2010-07-05,137.14999389648438,137.14999389648438,137.14999389648438,137.14999389648438,0
2010-07-06,149.9499969482422,154.0,140.3000030517578,153.8000030517578,534
2010-07-07,149.9499969482422,149.9499969482422,149.9499969482422,149.9499969482422,0
2010-07-08,149.9499969482422,149.9499969482422,149.9499969482422,149.9499969482422,0
2010-07-09,149.9499969482422,149.9499969482422,149.9499969482422,149.9499969482422,0
2010-07-12,149.9499969482422,149.9499969482422,149.9499969482422,149.9499969482422,0
2010-07-13,149.9499969482422,149.9499969482422,149.9499969482422,149.9499969482422,0
2010-07-14,149.9499969482422,149.9499969482422,149.9499969482422,149.9499969482422,0
2010-07-15,149.9499969482422,149.9499969482422,149.9499969482422,149.9499969482422,0
2010-07-16,143.5500030517578,143.5500030517578,142.5,142.5,600
2010-07-19,146.39999389648438,150.6999969482422,142.14999389648438,150.6999969482422,200
2010-07-20,147.0,153.6999969482422,147.0,153.6999969482422,200
2010-07-21,154.35000610351562,154.35000610351562,139.64999389648438,147.0,27
2010-07-22,154.35000610351562,154.35000610351562,154.35000610351562,154.35000610351562,0
2010-07-23,146.64999389648438,146.64999389648438,146.64999389648438,146.64999389648438,1
2010-07-26,139.35000610351562,139.35000610351562,139.35000610351562,139.35000610351562,65
2010-07-27,139.35000610351562,139.35000610351562,139.35000610351562,139.35000610351562,0
2010-07-28,139.35000610351562,139.35000610351562,139.35000610351562,139.35000610351562,0
2010-07-29,139.35000610351562,139.35000610351562,139.35000610351562,139.35000610351562,0
2010-07-30,139.35000610351562,139.35000610351562,139.35000610351562,139.35000610351562,0
2010-08-02,139.35000610351562,139.35000610351562,139.35000610351562,139.35000610351562,0
2010-08-03,135.35000610351562,146.35000610351562,133.35000610351562,146.35000610351562,220
2010-08-04,140.0,140.0,128.64999389648438,128.64999389648438,200
2010-08-05,147.0,147.0,147.0,147.0,202
2010-08-06,147.0500030517578,154.35000610351562,140.10000610351562,154.35000610351562,1192
2010-08-09,153.8000030517578,153.8000030517578,153.8000030517578,153.8000030517578,30
2010-08-10,161.5,161.5,161.5,161.5,20
2010-08-11,162.75,162.75,162.0,162.0,1105
2010-08-12,162.75,162.75,162.75,162.75,0
2010-08-13,168.5,169.0,154.75,162.0,457
2010-08-16,162.25,169.39999389648438,162.25,162.25,3100
2010-08-17,162.25,162.25,162.25,162.25,0
2010-08-18,167.9499969482422,169.9499969482422,154.14999389648438,165.0,49
2010-08-19,167.9499969482422,167.9499969482422,167.9499969482422,167.9499969482422,0
