Price,Close,High,Low,Open,Volume
Ticker,CREDITACC.NS,CREDITACC.NS,CREDITACC.NS,CREDITACC.NS,CREDITACC.NS
Date,,,,,
2018-08-23,418.7296142578125,423.5414641419768,381.9711080487882,386.9317717896816,11600387
2018-08-24,403.599609375,416.69577439557116,398.58935086528743,414.7115088032113,785983
2018-08-27,397.10113525390625,402.8058985960923,391.8924382893016,402.8058985960923,411202
2018-08-28,392.6861572265625,404.7901897163315,391.8924630832131,393.9759480563688,370390
2018-08-29,389.66015625,396.8531190324634,385.93965825907065,392.6861491716265,212493
2018-08-30,377.3576965332031,388.91603698504144,370.1647341144747,384.94750599539816,296385
2018-08-31,381.9215393066406,385.9396650970403,372.99234397020524,377.10968909761897,256303
2018-09-03,378.101806640625,384.79870287245285,377.3080822540628,383.4593175705894,80770
2018-09-04,377.3080749511719,378.9947127471679,372.099377982788,375.0757762504359,162888
2018-09-05,373.1411437988281,377.0104555768824,370.4623731876807,375.02619002121463,183808
2018-09-06,379.6396179199219,391.8924643154081,372.0498078943748,372.0498078943748,106322
2018-09-07,382.2191467285156,385.5923920653006,380.97898077547046,381.9711135379066,144584
2018-09-10,373.1411437988281,379.9868539103841,372.34741941006723,379.9868539103841,83141
2018-09-11,375.1253967285156,377.9033563019541,373.0419119096925,373.1907257658609,79912
2018-09-12,368.72613525390625,375.2246230170003,357.6142664765942,375.0261843534367,135269
2018-09-14,364.7575988769531,370.61117603674563,363.1205858976663,366.19620347306227,53753
2018-09-17,357.3166198730469,364.7576158315755,355.6300122889411,364.7576158315755,293017
2018-09-18,354.63787841796875,359.1520705081106,353.1992737593574,356.3244859969549,64000
2018-09-19,348.6850891113281,356.91977934519673,339.30942192093755,355.1835469230867,152301
2018-09-21,330.08258056640625,353.1496671807384,292.53034963553336,345.2621996467776,159380
2018-09-24,290.14923095703125,328.3959358455732,268.9175661697981,322.4431394254118,615181
2018-09-25,274.3742980957031,295.25871051224505,256.6151280430833,279.53340047274384,254102
2018-09-26,323.5345153808594,329.2392790380836,277.40033971808936,277.40033971808936,447494
2018-09-27,298.8304138183594,325.32034161994807,292.6791782990443,322.1455348015036,204139
2018-09-28,291.0917663574219,305.5273172049254,283.40273692252026,299.7233340921143,289156
2018-10-01,293.02642822265625,297.63983968223283,272.8365197087134,283.749980497062,72722
2018-10-03,287.6689147949219,293.6217115395453,282.7578453696116,290.6949076957761,156998
2018-10-04,284.89093017578125,289.7027803570732,277.8964059802111,282.757850690979,54270
2018-10-05,278.6405029296875,287.56969812950126,273.87824732329267,284.7421135940622,310535
2018-10-08,267.03253173828125,276.6562318173234,261.67502078064,273.82864733822424,110920
2018-10-09,263.56005859375,268.9175693803601,260.33562716099993,263.411244736967,61062
2018-10-10,277.7475891113281,280.77358203641353,261.32777312609676,262.96478618847885,48015
2018-10-11,275.118408203125,292.6791705469371,262.22068204342946,267.8758510090611,51990
2018-10-12,279.5334167480469,284.64289461891065,274.82078594217916,275.31685234279684,138597
2018-10-15,281.17041015625,286.0814792899981,277.3010985574575,284.24602768054234,57091
2018-10-16,278.9877624511719,286.72638637379345,278.14444349457426,282.7578550745022,36611
2018-10-17,278.1444396972656,284.14683109450084,273.82865591270854,280.3271137155827,64947
2018-10-19,275.118408203125,279.78144438724155,272.73729558298686,277.79717882421147,64508
2018-10-22,268.47113037109375,277.74757771391904,263.0144002020776,272.8365084508089,41446
2018-10-23,266.7348937988281,268.96719246880207,259.0954595728108,267.87584039687266,31084
2018-10-24,255.5734100341797,267.8262559155189,253.93638186488923,267.77663111005415,56209
2018-10-25,247.93397521972656,257.90492780725276,246.2473525245148,256.16869544538145,42751
2018-10-26,245.75128173828125,250.6623358748111,240.14573769717805,246.04892459416826,33349
2018-10-29,273.72943115234375,283.15469267272977,247.23948864385,250.91037694509345,166599
2018-10-30,287.8673095703125,291.0917409877996,267.9750601672721,267.9750601672721,64264
2018-10-31,311.876953125,317.8793444807463,287.8177326178092,289.5043402188294,113608
2018-11-01,314.0100402832031,316.4903723549504,304.13830652665257,311.5297082114559,38544
2018-11-02,314.6053161621094,323.38569747602276,308.65251937674304,308.65251937674304,121795
2018-11-05,323.4352722167969,326.90773679581156,315.49821032190613,315.49821032190613,51931
2018-11-06,332.3644714355469,340.4999721010841,318.4746129277927,326.31245560167054,101895
2018-11-07,336.2337951660156,342.2362166886327,331.0250980388013,337.32514728626325,17463
2018-11-09,362.9717712402344,371.0080525396746,333.6542304245435,336.3330009501865,224986
2018-11-12,357.1678161621094,370.0655428568522,355.3819891922952,368.08127721150714,46418
2018-11-13,346.25433349609375,357.1181993371244,337.3251386494896,356.6717274837986,47641
2018-11-14,352.5047607421875,362.12846071323355,346.651183460129,346.651183460129,37246
2018-11-15,356.0764465332031,360.73948268200024,348.2386036740988,349.42917511389487,39809
2018-11-16,359.44970703125,362.07888321495096,352.2071495873514,352.2071495873514,102341
2018-11-19,356.6717224121094,361.5331668150799,353.34807165541395,355.6795896654832,26420
2018-11-20,356.27490234375,362.1284799365411,347.5441153459087,354.1914173625895,52775
2018-11-21,366.6922912597656,384.5506817729605,351.21501342616534,351.21501342616534,85387
2018-11-22,367.7340087890625,372.04979243682766,363.1205974183438,367.0891285376699,38986
2018-11-26,355.18353271484375,372.0497898549341,351.2150016230578,367.08912599020164,21592
2018-11-27,364.4599914550781,367.0891373290993,352.25673980440035,358.7056030277494,61163
2018-11-28,374.0340576171875,376.81201728690286,359.64813232421875,359.64813232421875,63906
2018-11-29,383.360107421875,384.451459556113,372.09939409937857,377.01046356470437,73796
2018-11-30,386.03887939453125,389.36253033742526,377.0104648389427,385.9396600588124,205036
2018-12-03,390.90032958984375,395.5633659370641,382.6160145189263,386.93179832497225,72784
2018-12-04,385.79083251953125,396.65466815214063,382.9632480779655,390.9003102142964,55745
2018-12-05,386.782958984375,390.90030384501125,381.9711090871303,381.9711090871303,53611
2018-12-06,382.56640625,388.91604999026146,377.0600511512461,382.96325330673704,51439
2018-12-07,379.6396179199219,388.8168465146498,377.5561329402152,378.0026048206848,31615
