Price,Close,High,Low,Open,Volume
Ticker,EMUDHRA.NS,EMUDHRA.NS,EMUDHRA.NS,EMUDHRA.NS,EMUDHRA.NS
Date,,,,,
2022-06-01,255.32562255859375,276.21500728860127,253.44459450136893,267.3048457631625,7383750
2022-06-02,253.34559631347656,256.414658109501,251.21706368836243,253.34559631347656,965938
2022-06-03,253.6426239013672,258.3946982202368,252.60308687271015,253.54361605869246,871504
2022-06-06,254.9296112060547,257.0086548545967,251.51405244614224,253.642600011359,325169
2022-06-07,256.26617431640625,257.80069018496056,250.77157120270348,250.77157120270348,333655
2022-06-08,252.80108642578125,256.41464585567473,250.52404214785287,253.44459204267466,178072
2022-06-09,253.3950958251953,255.4246356803849,251.91006887356517,252.80109410842846,164921
2022-06-10,250.67254638671875,252.45458174977693,249.4845278468384,251.365555942776,132439
2022-06-13,245.07894897460938,250.47454383433052,242.65340799434665,250.47454383433052,260250
2022-06-14,252.45457458496094,253.4445925245098,241.66338508646825,242.55439518947227,235625
2022-06-15,254.0386199951172,256.21664142578595,251.3655593609429,255.32563128537825,219168
2022-06-16,254.28611755371094,256.16714562391485,251.21705585340442,253.54360408813437,301391
2022-06-17,253.0980987548828,254.92963811988793,249.33604239402254,250.57356490916763,197431
2022-06-20,248.74200439453125,251.7615620960384,245.5739500464232,249.73202232246967,118670
2022-06-21,241.21786499023438,251.3655488732077,234.18874668152316,249.03901577855729,64248
2022-06-22,243.9899444580078,250.67256626967466,233.9412673319438,238.54484520405703,119991
2022-06-23,238.39633178710938,247.30649357652936,237.1093053962314,243.94042339219652,43188
2022-06-24,237.05979919433594,242.30689744111794,236.61429413044814,241.36638339369364,35442
2022-06-27,237.1092987060547,240.97036266327098,235.62427178305225,237.70331551784565,31530
2022-06-28,243.84144592285156,248.49452768286898,234.83227572920876,236.1688061238785,115028
2022-06-29,250.9695587158203,252.45458569047014,241.4653800354712,243.5939277630213,96624
2022-06-30,250.37554931640625,253.44461119771904,245.7719716009131,249.48453914775467,54832
2022-07-01,249.9795379638672,251.86056606833185,243.54442114499534,245.02944810319656,44487
2022-07-04,244.48492431640625,249.48451787447135,243.54441030603155,247.50448201832475,18303
2022-07-05,246.1184844970703,248.5935295338209,243.54443161625926,243.54443161625926,35405
2022-07-06,247.7025146484375,249.43504624684692,241.86141415924791,246.51449600225212,80759
2022-07-07,246.0194854736328,250.42506277570837,245.52447644853495,249.48454864931776,26330
2022-07-08,245.8709716796875,248.19750487167968,244.6334492031569,245.92046049356827,21802
2022-07-11,254.7316131591797,257.40467377976535,242.65341197882282,242.65341197882282,153313
2022-07-12,247.40550231933594,254.03863527696572,245.62348193132195,250.5735721346418,39063
2022-07-13,248.69252014160156,253.44460959276103,247.5045015554307,248.49451956165242,24824
2022-07-14,247.7025146484375,249.53405409506098,243.64344968176434,247.50451405848605,25879
2022-07-15,245.1779327392578,252.45457052037617,243.74240977131922,252.45457052037617,22348
2022-07-18,246.46498107910156,248.44501710320597,245.52446698894715,245.52446698894715,20217
2022-07-19,243.742431640625,248.94002620591777,242.65342089083023,245.57397100622333,37091
2022-07-20,244.48492431640625,248.39549211100083,242.60389629565688,245.8709584795937,40012
2022-07-21,247.50450134277344,248.09851818858647,243.64343716441653,245.52446533203124,119770
2022-07-22,251.16757202148438,254.38514573611616,246.51449028637026,250.47456241948464,96562
2022-07-25,282.40264892578125,293.83734532471135,253.44462094653812,254.43463899711054,2460622
2022-07-26,323.7853698730469,333.6360609078814,275.76949760588883,280.47208303411566,3663673
2022-07-27,323.93389892578125,353.0899106496476,317.7957752928876,325.91393490891454,3014836
2022-07-28,331.28814697265625,334.6671109956384,325.02709596386535,328.1576366326702,656968
2022-07-29,338.99017333984375,371.1400823997918,326.8656228302942,328.3563447620184,2308649
2022-08-01,352.40667724609375,364.4815190507226,334.1204939443497,344.85367991983844,866761
2022-08-02,359.0652160644531,364.03428924734794,348.43141765034767,350.816566712374,743139
2022-08-03,363.7858581542969,372.38237955701055,358.76710605977996,361.64916261887333,835824
2022-08-04,355.7856750488281,369.003398889785,330.7912405350443,365.72382239656076,741301
2022-08-05,356.5310363769531,365.52504760211247,350.96566779213447,354.49372830061236,347754
2022-08-08,342.4188537597656,357.77330349982736,339.88463832483603,352.1085473962193,338370
2022-08-10,348.58050537109375,359.7609207251203,339.8846267624064,339.8846267624064,631170
2022-08-11,376.9538879394531,396.43266131708356,349.0773988925168,349.0773988925168,2424242
2022-08-12,366.0716247558594,391.5629639307667,361.74852505278955,378.3452414930564,1064451
2022-08-16,354.49371337890625,370.49410568462935,352.2576303180523,370.49410568462935,474636
2022-08-17,360.357177734375,366.7175850681684,353.5495417018995,357.47512147846396,398385
2022-08-18,354.0464782714844,363.63678382767137,347.4872953451124,361.40070080700934,560424
2022-08-19,348.63018798828125,357.07761301969055,347.288562393406,353.301129254823,294550
2022-08-22,350.66748046875,362.74232154482166,347.28851696395833,349.82273201034855,420144
2022-08-23,355.1893310546875,359.9596593196264,347.8351090994898,350.66748676791997,207457
2022-08-24,356.5310363769531,378.59373563759107,348.0339325195665,355.7359967200442,1112190
2022-08-25,354.54339599609375,362.69268870833,352.85389886612694,355.5372107010583,452698
2022-08-26,359.3633728027344,364.0342833213295,353.0029652979316,357.2763560341294,320551
2022-08-29,357.47515869140625,362.74236445470086,347.83514399765835,351.81040278620304,279460
2022-08-30,357.1273193359375,381.62484568177763,354.3943289046227,358.9161736685437,855474
2022-09-01,355.6862487792969,368.6555478531663,353.10232468448334,355.7856363077158,370678
2022-09-02,349.5743103027344,362.1460598171546,347.83513462958643,358.22051006648223,243675
2022-09-05,336.306884765625,352.5060823971697,331.93410619882906,349.92215813943926,351640
2022-09-06,324.1823425292969,340.7790285553147,322.4928455367155,338.89078683519256,321637
2022-09-07,327.66070556640625,332.9279111334082,320.4555492806833,322.69163226590763,264795
2022-09-08,330.443359375,338.69200854516566,328.3563426184475,332.2322135498649,157930
2022-09-09,323.23822021484375,333.77266174341213,321.0021372156634,333.77266174341213,307148
2022-09-12,327.9588623046875,329.2508093276936,322.39349372708665,325.47432546904594,169649
2022-09-13,325.3252258300781,330.59243124781375,323.3375965662057,328.5551233838708,128080
2022-09-14,321.6481018066406,324.67925465250374,316.97719120121025,321.4990356765723,187657
2022-09-15,320.15740966796875,331.2384378577726,318.51762142685476,322.1450391308508,203462
2022-09-16,308.1322326660156,320.5052376945896,307.5856467177534,320.4058501597735,296552
2022-09-19,297.8462829589844,309.92112571055003,296.10710720340194,309.92112571055003,276058
2022-09-20,310.318603515625,316.9771733526901,298.14437487489994,298.14437487489994,296235
2022-09-21,301.77178955078125,311.01428329305185,296.25613079255936,311.01428329305185,108943
2022-09-22,310.0701599121094,313.05160375741815,301.12582837618316,301.6227356837346,155036
2022-09-23,303.5110168457031,311.5112437346688,300.13205278082194,311.06401496820286,91979
2022-09-26,299.2872619628906,304.3557225096303,286.0198309322181,300.62891774420626,266163
2022-09-27,302.765625,310.96459580680306,293.6722270800362,304.4054130955974,116759
2022-09-28,310.0701599121094,313.6478985922429,298.1443845308744,306.09490145169775,239850
2022-09-29,308.33099365234375,315.5858284302842,305.1010960556633,313.49884193855894,96842
2022-09-30,322.9897766113281,328.9029861915857,303.61039001464843,303.61039001464843,269010
2022-10-03,306.09490966796875,323.9835732199929,304.1072803844105,321.9959439364346,134173
2022-10-04,313.4490966796875,318.7163318856969,307.9831167649761,311.06394787357596,149599
2022-10-06,313.6976013183594,319.7101983994577,311.9087470051171,316.48030065195763,125329
