Price,Close,High,Low,Open,Volume
Ticker,GANGESSECU.NS,GANGESSECU.NS,GANGESSECU.NS,GANGESSECU.NS,GANGESSECU.NS
Date,,,,,
2017-07-31,69.4000015258789,72.0,69.4000015258789,69.4000015258789,44519
2017-08-01,68.44999694824219,70.4000015258789,65.94999694824219,66.30000305175781,59791
2017-08-02,71.8499984741211,71.8499984741211,65.05000305175781,66.55000305175781,63971
2017-08-03,71.19999694824219,75.4000015258789,70.1500015258789,70.1500015258789,35334
2017-08-04,70.1500015258789,72.5,67.6500015258789,68.0,47282
2017-08-07,72.9000015258789,73.6500015258789,66.6500015258789,68.1500015258789,46702
2017-08-08,69.5999984741211,74.0,69.30000305175781,73.6500015258789,20854
2017-08-09,66.1500015258789,69.3499984741211,66.1500015258789,66.19999694824219,27945
2017-08-10,62.849998474121094,65.4000015258789,62.849998474121094,65.4000015258789,2377
2017-08-11,59.79999923706055,60.0,59.75,59.75,22141
2017-08-14,61.599998474121094,62.75,56.900001525878906,58.79999923706055,77262
2017-08-16,63.54999923706055,64.6500015258789,58.54999923706055,59.20000076293945,52179
2017-08-17,60.900001525878906,66.69999694824219,60.5,66.6500015258789,25355
2017-08-18,57.95000076293945,60.0,57.900001525878906,58.20000076293945,9845
2017-08-21,59.25,60.79999923706055,55.54999923706055,57.0,16366
2017-08-22,61.29999923706055,62.20000076293945,58.099998474121094,58.099998474121094,18276
2017-08-23,64.3499984741211,64.3499984741211,60.70000076293945,60.70000076293945,3847
2017-08-24,66.69999694824219,67.55000305175781,65.0,66.75,25919
2017-08-28,64.94999694824219,68.5,63.54999923706055,63.54999923706055,21801
2017-08-29,62.150001525878906,66.0,62.0,66.0,25436
2017-08-30,65.25,65.25,61.04999923706055,61.04999923706055,25862
2017-08-31,68.5,68.5,65.5999984741211,68.5,45687
2017-09-01,71.30000305175781,71.80000305175781,70.0,70.0,30755
2017-09-04,74.80000305175781,74.8499984741211,71.30000305175781,74.30000305175781,26957
2017-09-05,78.5,78.5,74.8499984741211,74.8499984741211,22471
2017-09-06,82.4000015258789,82.4000015258789,82.4000015258789,82.4000015258789,6943
2017-09-07,81.1500015258789,86.5,78.4000015258789,86.5,72203
2017-09-08,77.1500015258789,83.5,77.0999984741211,79.0,27175
2017-09-11,79.5999984741211,80.5,73.5999984741211,80.4000015258789,47089
2017-09-12,82.55000305175781,83.55000305175781,78.5,79.5999984741211,40558
2017-09-13,80.69999694824219,83.9000015258789,80.0999984741211,81.0,38876
2017-09-14,79.94999694824219,83.4000015258789,79.0999984741211,81.44999694824219,8691
2017-09-15,78.19999694824219,82.0,76.0,76.0,8271
2017-09-18,79.55000305175781,82.0,75.0999984741211,81.4000015258789,52629
2017-09-19,83.5,83.5,79.0,79.0,22629
2017-09-20,87.3499984741211,87.6500015258789,82.25,83.5,12249
2017-09-21,86.0,90.0,84.0999984741211,87.0,21007
2017-09-22,83.0,87.80000305175781,81.69999694824219,83.0,4644
2017-09-25,80.55000305175781,82.0,78.8499984741211,82.0,10415
2017-09-26,78.8499984741211,81.5,78.0999984741211,80.55000305175781,4235
2017-09-27,77.94999694824219,82.75,77.0,81.80000305175781,16977
2017-09-28,81.25,81.80000305175781,76.0,81.80000305175781,15672
2017-09-29,81.0999984741211,84.0,79.0,79.0,6539
2017-10-03,80.0999984741211,82.0,78.0,78.0,5765
2017-10-04,78.44999694824219,80.0,77.0999984741211,80.0,3902
2017-10-05,77.44999694824219,82.0,77.0999984741211,77.25,10516
2017-10-06,77.0,79.0,76.0999984741211,77.0,3899
2017-10-09,79.0,79.9000015258789,75.75,77.0,9991
2017-10-10,79.8499984741211,81.0,75.5,75.5,8503
2017-10-11,83.80000305175781,83.80000305175781,79.5,83.80000305175781,37486
2017-10-12,87.94999694824219,87.94999694824219,84.1500015258789,87.0,42667
2017-10-13,92.30000305175781,92.30000305175781,92.30000305175781,92.30000305175781,11469
2017-10-16,92.30000305175781,96.9000015258789,88.0,96.9000015258789,74179
2017-10-17,90.5999984741211,92.9000015258789,87.69999694824219,87.69999694824219,10275
2017-10-18,95.0999984741211,95.0999984741211,90.0,90.0,36169
2017-10-19,99.80000305175781,99.8499984741211,96.0,96.0,46667
2017-10-23,104.75,104.75,97.0999984741211,97.0999984741211,10073
2017-10-24,109.94999694824219,109.94999694824219,109.94999694824219,109.94999694824219,8917
2017-10-25,115.4000015258789,115.4000015258789,109.0,115.4000015258789,54945
2017-10-26,115.9000015258789,121.0,112.05000305175781,121.0,17381
2017-10-27,114.5999984741211,121.6500015258789,112.5999984741211,116.5,42596
2017-10-30,117.30000305175781,120.30000305175781,110.5,111.0999984741211,17259
2017-10-31,115.55000305175781,119.5,115.0,116.5,6381
2017-11-01,115.0,120.0,113.69999694824219,116.0,25506
2017-11-02,116.1500015258789,118.30000305175781,111.30000305175781,111.80000305175781,8611
2017-11-03,115.0,119.80000305175781,112.0999984741211,119.0,8221
2017-11-06,115.05000305175781,120.0,111.5,111.5,17427
2017-11-07,109.75,115.0,109.4000015258789,115.0,15026
2017-11-08,107.3499984741211,112.0,106.3499984741211,106.3499984741211,3734
2017-11-09,107.0,111.25,104.0,104.0,10719
2017-11-10,108.19999694824219,110.94999694824219,105.0,105.0,17845
2017-11-13,107.80000305175781,108.8499984741211,104.5,104.5,3730
2017-11-14,104.55000305175781,106.6500015258789,104.30000305175781,105.0,14149
2017-11-15,101.55000305175781,107.0,100.5,100.8499984741211,6592
2017-11-16,103.80000305175781,103.80000305175781,97.30000305175781,101.19999694824219,12914
2017-11-17,102.05000305175781,105.05000305175781,102.0,103.80000305175781,3439
2017-11-20,104.3499984741211,107.1500015258789,104.0,106.5,9137
2017-11-21,104.5,106.0,104.0,106.0,14373
2017-11-22,103.80000305175781,105.0,102.0,104.0,7108
2017-11-23,105.75,108.94999694824219,102.0,102.0,18340
2017-11-24,105.0999984741211,109.9000015258789,105.0,105.05000305175781,8611
2017-11-27,110.3499984741211,110.3499984741211,103.0,103.0,14678
2017-11-28,115.8499984741211,115.8499984741211,111.0,111.0,4535
2017-11-29,112.5,116.0,112.05000305175781,115.0,3591
2017-11-30,111.0999984741211,111.30000305175781,111.0,111.0,2063
