Price,Close,High,Low,Open,Volume
Ticker,GKWLIMITED.NS,GKWLIMITED.NS,GKWLIMITED.NS,GKWLIMITED.NS,GKWLIMITED.NS
Date,,,,,
2010-01-04,313.6000061035156,315.95001220703125,312.0,315.0,224
2010-01-05,311.0,315.0,307.0,307.0,433
2010-01-06,321.6499938964844,326.54998779296875,302.79998779296875,302.79998779296875,13122
2010-01-07,337.75,337.75,312.0,320.0,10963
2010-01-08,338.0,350.0,330.5,338.1000061035156,538
2010-01-11,327.70001220703125,330.29998779296875,325.54998779296875,330.04998779296875,499
2010-01-12,321.0,334.95001220703125,321.0,325.29998779296875,6704
2010-01-13,324.45001220703125,325.0,306.0,306.0,210
2010-01-14,331.8999938964844,336.0,321.04998779296875,325.0,199
2010-01-15,329.95001220703125,340.8500061035156,325.0,335.0,1294
2010-01-18,353.1499938964844,358.0,338.0,338.0,1627
2010-01-19,347.5,360.0,336.1000061035156,359.8999938964844,847
2010-01-20,339.54998779296875,345.0,335.0,335.0,503
2010-01-21,331.0,349.8999938964844,326.0,331.0,857
2010-01-22,355.45001220703125,360.0,316.0,321.1000061035156,1657
2010-01-25,349.25,364.0,341.1000061035156,363.0,271
2010-01-27,326.54998779296875,359.6000061035156,321.0,359.6000061035156,221
2010-01-28,315.3999938964844,329.0,315.0,322.0,257
2010-01-29,310.0,323.8999938964844,303.1000061035156,303.1000061035156,88
2010-02-01,341.0,341.0,330.04998779296875,338.0,488
2010-02-02,367.5,375.1000061035156,348.0,348.0,2878
2010-02-03,350.29998779296875,369.0,333.0,337.1000061035156,1145
2010-02-04,335.3999938964844,346.0,333.8999938964844,340.29998779296875,362
2010-02-05,326.0,338.0,325.0,325.0,183
2010-02-08,319.1499938964844,329.0,306.1000061035156,329.0,253
2010-02-09,321.5,328.0,318.0,319.0,340
2010-02-10,318.0,320.0,311.29998779296875,311.29998779296875,362
2010-02-11,313.1000061035156,322.70001220703125,307.3500061035156,307.3999938964844,249
2010-02-15,310.1000061035156,321.8999938964844,310.1000061035156,321.8999938964844,230
2010-02-16,309.0,322.5,303.20001220703125,303.20001220703125,22
2010-02-17,319.70001220703125,319.70001220703125,310.04998779296875,310.1000061035156,352
2010-02-18,322.0,322.8999938964844,310.04998779296875,322.8999938964844,52
2010-02-19,318.70001220703125,318.70001220703125,310.0,310.3999938964844,87
2010-02-22,310.25,315.0,310.1499938964844,310.1499938964844,161
2010-02-23,310.25,310.25,310.25,310.25,0
2010-02-24,341.25,341.29998779296875,305.20001220703125,305.20001220703125,3516
2010-02-25,347.04998779296875,369.0,330.0,330.0,7866
2010-02-26,343.54998779296875,368.79998779296875,330.1000061035156,368.79998779296875,268
2010-03-02,340.54998779296875,348.0,334.04998779296875,334.54998779296875,220
2010-03-03,341.6499938964844,370.0,337.04998779296875,349.0,285
2010-03-04,333.6000061035156,340.0,328.0,338.0,718
2010-03-05,335.25,341.8999938964844,330.0,332.79998779296875,125
2010-03-08,332.29998779296875,338.0,327.0,328.25,172
2010-03-09,343.54998779296875,356.0,330.0,338.0,697
2010-03-10,352.3999938964844,358.0,335.20001220703125,335.20001220703125,1613
2010-03-11,356.79998779296875,365.0,340.1000061035156,340.1000061035156,1276
2010-03-12,350.0,352.0,345.5,346.8999938964844,220
2010-03-15,348.45001220703125,357.0,340.0,340.0,1007
2010-03-16,347.0,355.0,342.1000061035156,342.1000061035156,252
2010-03-17,354.0,356.5,341.1000061035156,350.0,1743
2010-03-18,353.0,372.8999938964844,337.0,337.0,2643
2010-03-19,398.54998779296875,415.0,355.0,359.0,9163
2010-03-22,437.1000061035156,448.8999938964844,404.0,404.0,6309
2010-03-23,447.04998779296875,464.0,415.25,447.75,9073
2010-03-25,446.20001220703125,459.95001220703125,380.1000061035156,401.20001220703125,6039
2010-03-26,432.8500061035156,460.0,424.0,460.0,1163
2010-03-29,435.3999938964844,454.79998779296875,426.0,426.0,21336
2010-03-30,431.0,446.0,430.0,435.0,555
2010-03-31,440.3999938964844,441.79998779296875,427.0,427.0,14
2010-04-01,431.5,434.0,425.0,425.1000061035156,317
2010-04-05,430.1000061035156,439.0,430.0,430.04998779296875,496
2010-04-06,431.0,444.0,424.04998779296875,424.04998779296875,226
2010-04-07,412.04998779296875,434.95001220703125,409.45001220703125,424.04998779296875,143
2010-04-08,421.5,431.20001220703125,407.3999938964844,412.0,70
2010-04-09,412.0,436.0,407.0,425.0,397
2010-04-12,405.0,418.75,405.0,407.1000061035156,106
2010-04-13,410.1000061035156,412.04998779296875,395.0,395.0,253
2010-04-15,407.0,415.0,403.04998779296875,415.0,268
2010-04-16,428.0,428.0,410.0,410.0,343
2010-04-19,414.70001220703125,425.0,405.0,406.6000061035156,2692
2010-04-20,429.54998779296875,460.0,419.0,460.0,416
2010-04-21,459.5,479.0,435.0,435.0,950
2010-04-22,473.95001220703125,483.79998779296875,460.0,460.0,593
2010-04-23,568.75,568.75,460.0,548.7999877929688,16660
2010-04-26,668.4000244140625,682.5,580.0,580.0,117321
2010-04-27,604.5499877929688,694.0,601.5999755859375,694.0,43952
2010-04-28,610.5999755859375,626.5,545.2000122070312,562.0,43979
2010-04-29,616.0499877929688,627.0,590.0,605.8499755859375,14165
2010-04-30,585.25,643.7999877929688,585.25,590.0,987
2010-05-03,560.0,609.0,556.0,573.0,1858
2010-05-04,560.9000244140625,579.2999877929688,540.2999877929688,561.0,863
2010-05-05,544.75,553.0,533.5999755859375,538.2000122070312,645
2010-05-06,570.2000122070312,572.0,530.0,549.0,1225
2010-05-07,563.5499877929688,572.0,543.0499877929688,543.0499877929688,364
2010-05-10,590.9500122070312,591.75,538.0,538.0,946
2010-05-11,588.4000244140625,600.0,568.0,575.0,595
2010-05-12,598.5,600.0,576.0,576.0,717
2010-05-13,575.2000122070312,600.0,573.0,600.0,243
2010-05-14,560.4500122070312,581.3499755859375,560.0,580.0,176
2010-05-17,558.5499877929688,581.0,536.2999877929688,536.2999877929688,145
2010-05-18,547.5,584.0,540.0,550.0,194
2010-05-19,542.9500122070312,573.0,523.0999755859375,548.0999755859375,513
2010-05-20,525.0499877929688,544.0,525.0,544.0,181
2010-05-21,519.0,525.0,510.0,525.0,151
2010-05-24,505.0,539.7000122070312,505.0,520.0,47
2010-05-25,507.0,515.0,490.0,505.0,170
2010-05-26,507.75,527.0,485.0,498.0,323
2010-05-27,496.5,500.0,496.0,499.79998779296875,158
2010-05-28,505.0,505.0,500.0,500.0,58
2010-05-31,520.0,527.5,498.0,505.0,164
2010-06-01,507.1499938964844,520.5,503.04998779296875,503.04998779296875,82
2010-06-02,508.0,508.0,500.0,505.0,281
2010-06-03,529.5,533.4000244140625,516.0,516.0,598
2010-06-04,535.0,535.0,528.0999755859375,530.0,130
2010-06-07,530.0,560.0,525.0,528.0999755859375,217
2010-06-08,522.0499877929688,524.0,503.5,503.5,56
2010-06-09,530.0,535.0,530.0,530.0,110
2010-06-10,520.5499877929688,521.0,511.0,515.0,328
2010-06-11,546.5999755859375,546.5999755859375,530.0,543.0,344
2010-06-14,556.0,573.9500122070312,540.0,540.0,586
2010-06-15,580.75,583.7999877929688,550.2000122070312,550.2000122070312,551
2010-06-16,608.0499877929688,609.7999877929688,562.0,575.0,2949
2010-06-17,602.0999755859375,626.0,600.0,600.0,1108
2010-06-18,590.2000122070312,631.0,587.2999877929688,631.0,59
2010-06-21,615.5999755859375,619.0499877929688,587.0499877929688,587.0499877929688,663
2010-06-22,619.0,630.0,601.0,602.0999755859375,13743
2010-06-23,620.75,638.9000244140625,606.0,606.0,576
2010-06-24,616.0999755859375,628.9500122070312,616.0999755859375,628.0,464
2010-06-25,612.0,624.0,610.0,610.0,156
2010-06-28,605.0,627.0,600.5,610.0,444
2010-06-29,605.7000122070312,634.0,590.5499877929688,634.0,182
2010-06-30,604.0,633.5,600.5999755859375,633.5,331
