Price,Close,High,Low,Open,Volume
Ticker,GRMOVER.NS,GRMOVER.NS,GRMOVER.NS,GRMOVER.NS,GRMOVER.NS
Date,,,,,
2022-09-07,474.5,498.0,455.0,467.0,103140
2022-09-08,465.6000061035156,490.0,451.0,486.95001220703125,27728
2022-09-09,446.3500061035156,474.70001220703125,442.79998779296875,451.95001220703125,30550
2022-09-12,449.75,470.0,427.5,448.0,42067
2022-09-13,463.8500061035156,474.3999938964844,443.0,449.75,124036
2022-09-14,446.75,464.04998779296875,441.0,444.1499938964844,41340
2022-09-15,442.70001220703125,452.8999938964844,436.29998779296875,452.8999938964844,104519
2022-09-16,430.95001220703125,446.54998779296875,424.04998779296875,443.0,45715
2022-09-19,417.54998779296875,430.95001220703125,412.04998779296875,430.95001220703125,28575
2022-09-20,408.8999938964844,433.3500061035156,405.0,419.29998779296875,47116
2022-09-21,414.45001220703125,424.79998779296875,392.1000061035156,410.0,69145
2022-09-22,410.70001220703125,423.3500061035156,404.0,418.0,49976
2022-09-23,398.8999938964844,415.54998779296875,395.0,410.70001220703125,34759
2022-09-26,384.29998779296875,404.75,382.0,399.8999938964844,13758
2022-09-27,383.1000061035156,398.95001220703125,382.0,387.6499938964844,23402
2022-09-28,376.95001220703125,391.1000061035156,369.0,382.0,15033
2022-09-29,373.20001220703125,387.0,370.3500061035156,373.3999938964844,9423
2022-09-30,394.75,421.79998779296875,370.0,370.0,33815
2022-10-03,404.79998779296875,434.0,398.0,403.0,56516
2022-10-04,410.3500061035156,419.8999938964844,405.29998779296875,410.8500061035156,14086
2022-10-06,401.54998779296875,417.95001220703125,395.6499938964844,412.0,10138
2022-10-07,396.20001220703125,407.6000061035156,392.95001220703125,404.8999938964844,40376
2022-10-10,393.3999938964844,396.20001220703125,380.04998779296875,396.20001220703125,7146
2022-10-11,389.20001220703125,396.45001220703125,384.1499938964844,384.1499938964844,9158
2022-10-12,375.6000061035156,394.0,336.95001220703125,389.3500061035156,59700
2022-10-13,398.1000061035156,424.8999938964844,377.3999938964844,381.25,39520
2022-10-14,382.79998779296875,411.6499938964844,379.29998779296875,410.04998779296875,41444
2022-10-17,366.1000061035156,388.54998779296875,362.54998779296875,377.04998779296875,49183
2022-10-18,363.04998779296875,374.95001220703125,355.0,369.75,61942
2022-10-19,363.79998779296875,369.1499938964844,359.1000061035156,359.45001220703125,45600
2022-10-20,374.70001220703125,385.8999938964844,362.1000061035156,362.70001220703125,97969
2022-10-21,359.6000061035156,379.8999938964844,355.8500061035156,374.6499938964844,50869
2022-10-24,374.8999938964844,384.0,365.0,365.0,29494
2022-10-25,382.6499938964844,386.95001220703125,365.75,374.0,102737
2022-10-27,372.75,393.79998779296875,365.1000061035156,388.3999938964844,94614
2022-10-28,365.29998779296875,379.95001220703125,364.0,374.04998779296875,41010
2022-10-31,370.04998779296875,382.6000061035156,362.0,368.95001220703125,96327
2022-11-01,366.29998779296875,375.6499938964844,364.1000061035156,375.6499938964844,43194
2022-11-02,368.95001220703125,372.8999938964844,360.20001220703125,371.6000061035156,35361
2022-11-03,368.6000061035156,372.6499938964844,360.0,372.6499938964844,53592
2022-11-04,362.8500061035156,372.8500061035156,360.0,370.0,67574
2022-11-07,361.54998779296875,370.95001220703125,360.0,366.8999938964844,35554
2022-11-09,373.70001220703125,379.70001220703125,359.6499938964844,362.0,72860
2022-11-10,365.75,383.0,365.0,377.45001220703125,38122
2022-11-11,369.1499938964844,374.3999938964844,366.1499938964844,366.1499938964844,37079
2022-11-14,361.79998779296875,372.0,359.8999938964844,372.0,31523
2022-11-15,352.20001220703125,361.95001220703125,351.0,353.0,37537
2022-11-16,351.45001220703125,364.0,350.0,364.0,39339
2022-11-17,357.1499938964844,363.0,350.20001220703125,356.5,38102
2022-11-18,355.79998779296875,362.0,350.0,362.0,42246
2022-11-21,358.3999938964844,362.0,346.0,357.8999938964844,50808
2022-11-22,352.1000061035156,364.0,348.5,355.54998779296875,70420
2022-11-23,352.6499938964844,357.95001220703125,351.0,354.0,35055
2022-11-24,349.6499938964844,353.95001220703125,346.04998779296875,350.1000061035156,59301
2022-11-25,342.3999938964844,352.95001220703125,337.0,351.29998779296875,40342
2022-11-28,346.3999938964844,352.6000061035156,338.04998779296875,339.0,83809
2022-11-29,348.1000061035156,350.5,341.20001220703125,341.20001220703125,56688
2022-11-30,367.5,372.6000061035156,349.95001220703125,353.29998779296875,119573
2022-12-01,373.3500061035156,384.0,361.70001220703125,372.95001220703125,65116
2022-12-02,369.75,379.8999938964844,362.3999938964844,374.0,73357
2022-12-05,358.1499938964844,380.45001220703125,355.54998779296875,373.95001220703125,80111
2022-12-06,357.8999938964844,363.54998779296875,355.20001220703125,363.54998779296875,55079
2022-12-07,353.20001220703125,367.1000061035156,350.3500061035156,357.0,36727
2022-12-08,361.75,391.25,350.75,352.0,277917
2022-12-09,382.04998779296875,389.3999938964844,360.75,362.0,154308
2022-12-12,387.95001220703125,404.0,375.04998779296875,384.75,155800
2022-12-13,389.29998779296875,399.8999938964844,386.04998779296875,393.5,94677
2022-12-14,377.0,394.3999938964844,375.0,392.75,63741
2022-12-15,368.8999938964844,382.70001220703125,354.0,377.1499938964844,100034
2022-12-16,367.5,372.1499938964844,363.54998779296875,368.95001220703125,36236
2022-12-19,365.6000061035156,374.54998779296875,361.3999938964844,367.5,64641
2022-12-20,368.54998779296875,369.75,361.1499938964844,362.1499938964844,48678
2022-12-21,350.75,371.0,346.0,365.79998779296875,57909
2022-12-22,337.6000061035156,357.3500061035156,335.04998779296875,356.0,51942
2022-12-23,308.04998779296875,347.95001220703125,301.95001220703125,333.75,64194
2022-12-26,319.75,343.8999938964844,312.6499938964844,312.6499938964844,167729
2022-12-27,350.0,383.70001220703125,325.1499938964844,329.0,298439
2022-12-28,358.1499938964844,372.0,343.0,349.95001220703125,68633
2022-12-29,363.8500061035156,364.95001220703125,351.0,352.04998779296875,29095
2022-12-30,431.70001220703125,436.6000061035156,359.6000061035156,369.95001220703125,935470
2023-01-02,410.6000061035156,430.95001220703125,402.0,430.95001220703125,149011
2023-01-03,417.79998779296875,424.79998779296875,403.0,413.8999938964844,98145
2023-01-04,404.3999938964844,414.8999938964844,401.0,414.8999938964844,30137
2023-01-05,402.75,408.0,395.0,404.3999938964844,24910
2023-01-06,395.3500061035156,405.5,391.3999938964844,404.0,89352
2023-01-09,395.20001220703125,413.79998779296875,391.0,403.5,269238
2023-01-10,390.8999938964844,397.54998779296875,387.04998779296875,397.54998779296875,15557
2023-01-11,383.0,394.45001220703125,380.04998779296875,391.6000061035156,11604
2023-01-12,383.8999938964844,390.0,380.1499938964844,384.0,11834
2023-01-13,377.3500061035156,390.04998779296875,375.04998779296875,390.0,15938
2023-01-16,378.3999938964844,387.0,374.20001220703125,382.5,18697
2023-01-17,380.1499938964844,382.0,374.95001220703125,380.0,11488
2023-01-18,379.8999938964844,384.79998779296875,376.0,376.8500061035156,33706
2023-01-19,372.04998779296875,383.3999938964844,370.04998779296875,383.3999938964844,17373
2023-01-20,364.95001220703125,375.95001220703125,361.0,373.0,192119
2023-01-23,362.70001220703125,369.79998779296875,362.0,362.04998779296875,8659
2023-01-24,362.0,369.8999938964844,360.8500061035156,363.0,146928
2023-01-25,356.95001220703125,361.0,355.1000061035156,360.79998779296875,95649
2023-01-27,345.8500061035156,360.20001220703125,333.3500061035156,358.79998779296875,129033
2023-01-30,346.20001220703125,354.0,344.29998779296875,349.8999938964844,53060
2023-01-31,348.8999938964844,358.0,342.1499938964844,342.1499938964844,10968
