Price,Close,High,Low,Open,Volume
Ticker,MAHSCOOTER.NS,MAHSCOOTER.NS,MAHSCOOTER.NS,MAHSCOOTER.NS,MAHSCOOTER.NS
Date,,,,,
2010-01-04,164.83766174316406,164.83766174316406,157.5313437631968,157.5313437631968,2670
2010-01-05,164.12486267089844,173.1062927312328,164.12486267089844,169.64915229391457,1375
2010-01-06,163.2338409423828,163.2338409423828,160.7390005786346,161.84386062933697,818
2010-01-07,160.845947265625,164.6594940100207,160.845947265625,163.94668234763967,109
2010-01-08,160.560791015625,168.8650406731022,158.95696513422587,168.8650406731022,138
2010-01-11,164.58819580078125,168.6155879086444,161.87952039392908,167.08303642672337,854
2010-01-12,162.3428497314453,172.50041552144793,158.4223857423215,172.50041552144793,458
2010-01-13,164.26742553710938,165.7286914434444,159.49159015256208,163.9466625031923,632
2010-01-14,167.15435791015625,167.5107637905617,160.38264618245267,160.38264618245267,633
2010-01-15,166.79794311523438,169.57790448316413,166.79794311523438,168.22356656066373,659
2010-01-18,167.5107421875,167.5107421875,165.37230718085107,166.79793051861702,1295
2010-01-19,171.39556884765625,175.88628467424215,168.2235589994778,173.21324083420805,1855
2010-01-20,172.50038146972656,179.62849640649213,171.21731860578072,179.62849640649213,1836
2010-01-21,176.42086791992188,178.09597950133335,171.4311868070352,174.63883895103376,2432
2010-01-22,176.88421630859375,178.20292228415377,173.92605214933408,174.63886383847068,9474
2010-01-25,177.24061584472656,178.2029159414676,171.78761096757478,171.78761096757478,1417
2010-01-27,168.40174865722656,176.42087954566594,168.40174865722656,171.9658068298663,10606
2010-01-28,166.79794311523438,174.63887206509582,161.4518551948743,174.46066913441717,2130
2010-01-29,171.07479858398438,171.07479858398438,158.45803436374408,158.49367712211097,8240
2010-02-01,175.7436981201172,176.7059872320372,167.51072215382433,170.3619684883575,686
2010-02-02,174.24679565429688,178.20290225979267,173.92603260555762,176.7772790417143,3563
2010-02-03,176.7772674560547,179.5572281984571,172.21527780784527,179.5572281984571,2908
2010-02-04,170.36196899414062,178.2028964373856,170.36196899414062,177.88213339912664,322
2010-02-05,172.57171630859375,172.85683663692515,168.93637230082996,171.07480739324552,1513
2010-02-08,172.8568115234375,176.38522673796902,168.93634775692655,168.93634775692655,1242
2010-02-09,176.59906005859375,177.49007448875818,167.54635562345115,173.85473126303086,548
2010-02-10,178.20291137695312,178.20291137695312,174.99525897216796,176.7416453283336,1430
2010-02-11,178.20291137695312,180.34134631347658,177.8465055541992,178.20291137695312,1372
2010-02-15,175.2447509765625,179.62853833527825,171.0747984145507,178.202915015157,3677
2010-02-16,173.2132110595703,178.202892036595,171.07477635513118,178.202892036595,3274
2010-02-17,176.74163818359375,178.20290417314195,171.78759962290883,178.20290417314195,2297
2010-02-18,177.3831787109375,178.20290773586555,169.2927623490723,178.20290773586555,3961
2010-02-19,176.13577270507812,178.91573394156063,173.9616948782684,173.9616948782684,1996
2010-02-22,173.997314453125,181.05414488335495,173.9260289430654,175.3516521311233,4386
2010-02-23,173.10629272460938,177.3475193564667,167.5107175947248,177.2762338493869,1001
2010-02-24,174.17552185058594,178.20290311022012,171.0747869858113,171.0747869858113,1357
2010-02-25,170.96788024902344,178.20291421551633,168.2235510194474,178.20291421551633,4268
2010-02-26,168.93634033203125,171.07477501977849,166.15637958861635,170.96785763604763,896
2010-03-02,169.68479919433594,171.03913684887198,165.58613259967393,165.58613259967393,226
2010-03-03,171.14605712890625,173.92601781713017,171.14605712890625,173.85473231163067,799
2010-03-04,176.8485565185547,179.62851731684935,171.1460639053214,173.89038194945502,1215
2010-03-05,185.72305297851562,185.72305297851562,172.5004065496781,172.5004065496781,4560
2010-03-08,195.84498596191406,203.11567294097645,189.60788449815885,194.9539714670919,2665
2010-03-09,197.02113342285156,199.2308538628641,188.89508505781393,188.89508505781393,512
2010-03-10,215.30474853515625,216.7303718242572,194.06297022886616,199.088283621633,5493
2010-03-11,236.51087951660156,236.86728531560385,208.21227212779047,220.97159538141548,28982
2010-03-12,248.34356689453125,248.34356689453125,237.00986635770684,237.36627217177858,52166
2010-03-15,260.7820739746094,260.7820739746094,253.90344781584562,256.39828789698225,37672
2010-03-16,273.82659912109375,273.82659912109375,270.15562336533543,270.3694581653657,13471
2010-03-17,276.8204040527344,287.54821050660587,270.8684225229546,282.9862203726657,115088
2010-03-18,263.5977478027344,283.3426398333136,262.991875283707,278.673732079513,35615
2010-03-19,272.5079040527344,274.7889101927437,251.62252995600136,251.62252995600136,4356
2010-03-22,259.42779541015625,275.14528278503434,258.92881857943974,274.4324711716016,1420
2010-03-23,246.91793823242188,260.176238576281,246.45461503492916,253.08375433021666,5034
2010-03-25,234.72886657714844,246.9892356027551,234.58631729976725,242.3559598988073,2780
2010-03-26,245.8843536376953,246.49022605445182,225.53357077000277,225.60485627588068,9144
2010-03-29,244.67257690429688,258.037794142332,242.35593924970414,242.35593924970414,4887
2010-03-30,243.1400909423828,249.41282560667054,232.44791475101405,239.50474668665981,1604
2010-03-31,249.8404541015625,255.32911186587708,237.72265746896176,237.72265746896176,3796
2010-04-01,262.350341796875,262.350341796875,260.1406428931757,260.1406428931757,2131
2010-04-05,275.466064453125,275.466064453125,274.36119336928635,275.466064453125,10356
2010-04-06,289.25897216796875,289.25897216796875,272.29406281928584,277.99655628146985,9930
2010-04-07,300.16497802734375,303.7290361332175,290.18561533089724,303.7290361332175,7182
2010-04-08,285.1603088378906,302.2321575718611,285.1603088378906,298.95321943622605,4870
2010-04-09,292.4666442871094,296.52967985177816,283.69906870434545,291.5399977388876,3476
2010-04-12,288.6886901855469,300.02238996810064,285.8374438627267,300.02238996810064,1555
2010-04-13,294.81890869140625,303.12316022945737,289.40153569232143,289.40153569232143,9173
2010-04-15,285.4454345703125,299.16705886292885,284.4118489742299,286.3720810160322,1222
2010-04-16,282.8792724609375,288.6173968282594,274.4324511086259,277.99650891523146,7152
2010-04-19,272.2940979003906,281.5606509702992,270.8684743511739,277.99659209725746,576
2010-04-20,274.4324951171875,284.91083545024907,270.86843673904224,277.9965534953328,1325
2010-04-21,281.38238525390625,283.66339112510593,274.5037575141256,280.81214466274844,1629
2010-04-22,278.2816467285156,282.98620768040837,272.4722364882522,272.4722364882522,927
2010-04-23,273.7909240722656,284.3761800705813,270.8683923306729,284.3761800705813,1330
2010-04-26,279.35089111328125,279.42217663144646,268.05282171260257,277.996553281286,1018
2010-04-27,270.97540283203125,282.6298801734481,270.9397709431614,271.2961768450195,1720
2010-04-28,260.4969787597656,267.3043200763987,258.75058183395396,261.95823367487077,1365
2010-04-29,262.2077941894531,272.97125545615194,260.24756196964427,272.97125545615194,445
2010-04-30,261.1385192871094,270.76147534454657,260.17621933070916,260.17621933070916,1001
2010-05-03,260.0693359375,270.86842812936914,258.0378183758727,263.74031159964886,1382
2010-05-04,257.1468505859375,270.86847740168054,253.7609946184165,270.86847740168054,7017
2010-05-05,255.22218322753906,262.9918470259891,247.34562379363726,249.4840585814785,743
2010-05-06,261.387939453125,263.704576417792,256.6120945477315,256.6120945477315,1273
2010-05-07,254.5093994140625,270.1556243543701,249.48408581538135,270.1556243543701,1123
2010-05-10,262.0651550292969,266.55588072669957,253.0480935125347,253.0480935125347,883
2010-05-11,260.3544616699219,266.48464636379964,255.22220896032985,255.22220896032985,328
2010-05-12,263.3838806152344,264.4530979925628,256.61217055882105,256.61217055882105,1294
2010-05-13,270.725830078125,273.7196474231287,260.1762273683385,269.37149242330264,3302
2010-05-14,263.5265197753906,283.69908414249903,260.8891075280267,283.69908414249903,4146
2010-05-17,262.279052734375,263.740307901162,253.76094489949642,262.3146846152098,458
2010-05-18,259.8198547363281,259.8198547363281,258.03782555432315,258.10911107226053,388
2010-05-19,250.90966796875,257.8952125233852,246.84663339407948,257.8952125233852,1362
2010-05-20,249.12767028808594,263.3839032087203,238.791901420626,238.791901420626,2552
2010-05-21,239.32655334472656,242.35600338706487,237.0099150770561,242.35600338706487,2484
2010-05-24,240.6452178955078,249.41279250758726,229.56098366278303,229.56098366278303,102
2010-05-25,239.5046844482422,245.06460592162054,239.5046844482422,239.5046844482422,487
2010-05-26,239.32655334472656,249.34155007749408,233.16073584450757,249.34155007749408,1454
2010-05-27,233.26759338378906,242.32030929969105,229.52533252736464,229.56096440563624,282
2010-05-28,238.79190063476562,241.6431472095091,232.37659584159283,241.6431472095091,1150
2010-05-31,235.19219970703125,237.36626641886338,228.84815896768364,232.55478804550805,1908
2010-06-01,232.41221618652344,245.7774338422417,232.4122161865234,245.7774338422417,650
2010-06-02,233.4814453125,237.65139778094306,225.96129116891785,225.99692304980715,147
2010-06-03,238.0078125,241.9639303244218,222.57544417974754,222.57544417974754,1447
2010-06-04,246.84664916992188,249.48406079968925,235.22782875399272,238.07907516313202,802
2010-06-07,247.38125610351562,252.97683149211474,234.7288502533911,235.22782707273763,659
2010-06-08,240.18186950683594,241.64312453797956,237.72266086553446,240.25313326189038,444
2010-06-09,243.56776428222656,244.4587788987795,236.68911403980863,238.07910554294585,436
2010-06-10,239.7542266845703,245.0290290687752,235.2278679060242,235.33478531350582,156
2010-06-11,243.4251708984375,246.41898843656958,242.3559534567167,246.3477029231313,62
2010-06-14,240.11056518554688,245.84868922795076,235.65549317955586,235.65549317955586,476
2010-06-15,243.06881713867188,245.70622942770922,235.94069933401875,235.97633122172635,952
2010-06-16,242.21337890625,252.33531257527238,239.14829765255334,252.33531257527238,1285
2010-06-17,241.21546936035156,247.3456541894801,239.5047256705052,247.3456541894801,737
2010-06-18,238.64932250976562,247.34563300550937,232.9468295298115,232.9468295298115,1308
2010-06-21,240.25314331054688,244.4230955599409,233.8022069719336,233.8022069719336,1967
2010-06-22,237.61578369140625,245.7774645750922,236.76040095316677,245.1715920348998,978
2010-06-23,238.43548583984375,241.64313811571608,236.01193069317483,236.01193069317483,277
2010-06-24,242.177734375,243.71027492178635,233.1606722360503,233.1606722360503,509
2010-06-25,245.63487243652344,245.91999271510178,235.97626256922146,242.35593484966552,1280
2010-06-28,241.17984008789062,249.48409194039212,235.58426396085596,235.58426396085596,623
2010-06-29,248.0996856689453,250.70821487049236,242.73772249021658,242.73772249021658,2197
2010-06-30,250.382080078125,253.6065146089608,240.3102829204872,240.3102829204872,3884
2010-07-01,252.44720458984375,253.60655325584636,246.36065173425075,246.36065173425075,2597
2010-07-02,252.80947875976562,257.51931435932147,246.36063136138227,257.51931435932147,2651
2010-07-05,250.20095825195312,253.60654064282235,241.28850866874242,241.28850866874242,1214
2010-07-06,249.00543212890625,249.98363337771474,238.39018951092217,247.80986265269112,3741
2010-07-07,248.46197509765625,248.53443854018641,240.0929671347656,240.0929671347656,1910
2010-07-08,253.35292053222656,253.60653148625974,247.8098107665738,249.18652751495227,2692
2010-07-09,255.56298828125,257.229536999815,248.7518222874014,248.7518222874014,2073
2010-07-12,252.12109375,260.8523942111415,250.74435509036715,256.50485430762245,1076
2010-07-13,254.91082763671875,255.05575452415738,250.27345470428173,253.60657410072466,1090
2010-07-14,254.5122833251953,256.50490618396907,252.15736540118996,252.30229227237697,1335
2010-07-15,272.33721923828125,275.3442640148433,251.61393599777455,255.78032946642023,5311
2010-07-16,287.80718994140625,294.90816391288814,275.4166950940181,294.90816391288814,7436
2010-07-19,297.4442443847656,299.9803098058294,286.21309752005465,286.21309752005465,18753
