Price,Close,High,Low,Open,Volume
Ticker,MCLEODRUSS.NS,MCLEODRUSS.NS,MCLEODRUSS.NS,MCLEODRUSS.NS,MCLEODRUSS.NS
Date,,,,,
2010-01-04,234.22409057617188,235.89022435503767,226.68261336720164,230.71642924747243,409071
2010-01-05,240.40635681152344,243.8701834217549,234.31181070513506,236.32870546467814,1095047
2010-01-06,265.00384521484375,270.0899438424073,241.19557063914854,241.59019327462082,2369804
2010-01-07,269.2568359375,272.939890953697,265.70533962721345,265.70533962721345,1902670
2010-01-08,251.1924285888672,271.8437756821203,248.51782054551666,271.8437756821203,1134107
2010-01-11,245.01019287109375,256.4100947211428,242.99329786369725,254.21780590382565,591039
2010-01-12,238.95944213867188,249.6139587019459,236.81098874335032,245.97476521063288,759356
2010-01-13,250.44705200195312,252.5516436803557,236.37254330254888,238.43329991401325,1552299
2010-01-14,262.5484924316406,264.8284780585846,251.67474570468138,252.4639642936482,1786733
2010-01-15,253.51625061035156,262.98692634230105,249.92089207386417,262.98692634230105,570284
2010-01-18,246.28164672851562,258.6899918319163,245.62396030860396,255.09463405080018,629914
2010-01-19,245.3608856201172,250.79777108237937,243.78244881434077,247.29010994836008,382037
2010-01-20,246.369384765625,251.67471206810214,241.32712137053235,246.4132198297446,310916
2010-01-21,241.02020263671875,247.29014238390192,239.39790379718164,246.85168468463968,427319
2010-01-22,224.6218719482422,240.4940458702502,220.28114344093808,238.52098624141496,1917656
2010-01-25,206.11895751953125,221.85958551533582,203.5758949536038,218.35192408426332,1628292
2010-01-27,199.19131469726562,215.370413470977,188.18603785338732,201.86590916803272,2335131
2010-01-28,198.3144073486328,208.92508877289103,192.1321646393199,203.44436766132517,837246
2010-01-29,201.25209045410156,205.98742840663695,186.78298591164983,194.4998443437576,702112
2010-02-01,205.24205017089844,209.05662409764554,198.4459558829923,198.4459558829923,411801
2010-02-02,195.85903930664062,211.2050571897906,194.58750140607563,208.0043082886199,697774
2010-02-03,196.6044158935547,201.51514713337804,193.0090710399931,199.76131645925057,444906
2010-02-04,203.4443817138672,206.42588885223435,193.88600878733618,194.67522732964878,864421
2010-02-05,192.39523315429688,198.75286979592215,190.8167961409098,198.75286979592215,459047
2010-02-08,203.4443817138672,211.24892376355447,196.42905820649244,202.17285700428906,791170
2010-02-09,202.8305206298828,208.17969617051844,201.73437645590016,204.40897091655106,292549
2010-02-10,207.3027801513672,209.49506849214166,204.0143476402055,205.15434025354145,528232
2010-02-11,206.90817260742188,210.459682424468,205.19819036385633,208.70585173759747,370809
2010-02-15,203.8828125,213.35350066000416,202.61128795839127,209.05660755095946,453732
2010-02-16,200.769775390625,207.390489245636,198.48980341040507,204.27743694234823,310708
2010-02-17,210.59121704101562,213.7919661134941,203.53205914148498,207.12740406670767,1307048
2010-02-18,204.9351043701172,214.18656352608747,203.7074282937795,213.09041939340534,646650
2010-02-19,202.39207458496094,208.22355657322146,200.37516651285569,202.56745498673814,554259
2010-02-22,194.85060119628906,206.7766561105044,192.48293226821215,206.07512110719753,528808
2010-02-23,192.08831787109375,194.89444442857769,190.1591066991152,193.0967652121582,561607
2010-02-24,192.26370239257812,194.85060015912705,187.39681922258467,190.50987158397993,457462
2010-02-25,194.14906311035156,198.9720977830905,190.50986957318807,193.09676731243283,488738
2010-02-26,191.4744873046875,195.552138655323,188.49296684835835,194.54369127461408,347040
2010-03-02,193.4036865234375,196.38519341365932,190.29063430000002,193.0090772851238,561147
2010-03-03,196.692138671875,199.41056854622414,194.8944593181165,195.55214590749145,985114
2010-03-04,201.86593627929688,203.40053833477907,196.95521773015466,196.95521773015466,1498226
2010-03-05,206.46971130371094,207.9166296233263,203.88281376221602,205.11048986916296,1319248
2010-03-08,212.21353149414062,213.4850561761332,207.39049668745562,209.93354605144074,733603
2010-03-09,209.1004638671875,212.91505101632322,208.04816811659828,212.21351605570825,331300
2010-03-10,214.8004150390625,216.5980942055659,207.0397221212306,209.5827713163168,805784
2010-03-11,219.44808959960938,226.5072482108668,215.7211989670486,215.7211989670486,2574736
2010-03-12,217.51885986328125,221.42113057752408,214.49350451766227,220.1057575245883,500080
2010-03-15,223.9641876220703,225.80571531281058,212.6519843237148,215.72118822117048,1270061
2010-03-16,231.72488403320312,234.13640127479746,225.54264144564897,226.9456846135102,1889698
2010-03-17,235.407958984375,236.76716720267103,229.48877980430822,229.48877980430822,998424
2010-03-18,228.12953186035156,236.32869605535512,226.3318660271727,236.32869605535512,461179
2010-03-19,226.68263244628906,228.30493129962224,223.8765058232808,228.30493129962224,313196
2010-03-22,226.15646362304688,231.41795572793976,220.98266840550204,220.98266840550204,478947
2010-03-23,229.7518310546875,231.41796493526007,223.04343370631167,227.47184569958796,466772
2010-03-25,248.25473022460938,256.84848957923947,228.0856780449418,228.0856780449418,6557383
2010-03-26,236.28488159179688,245.3609352010363,234.31182180520813,242.0286671548875,1874187
2010-03-29,235.84637451171875,239.9240251985061,230.01486650916937,237.64404012547894,880240
2010-03-30,244.2647705078125,246.588617693985,234.7502599615611,237.64407003606453,1125443
2010-03-31,237.2494659423828,251.41167196741057,235.45179996191928,245.53632770702941,1212953
2010-04-01,227.64723205566406,238.87173792202262,226.81415176188503,237.9948225649217,1540270
2010-04-05,231.5495147705078,233.2595106092074,224.05189834831765,229.3133910688261,1067182
2010-04-06,227.3841552734375,234.13641463987022,226.33187283747478,233.17180233590346,568150
2010-04-07,226.9456787109375,231.06719150300023,225.411076869836,229.31336082745565,457893
2010-04-08,225.71804809570312,231.50569584407248,223.9203819953884,225.89344190315038,446894
2010-04-09,225.89341735839844,229.6641429567619,223.56958346891008,227.82261522401018,760880
2010-04-12,222.73651123046875,227.99800362173966,218.17655383416738,226.156475932528,1255743
2010-04-13,220.1496124267578,226.06877795792795,218.79039088938774,223.61342555829208,525765
2010-04-15,221.02651977539062,223.96417821111493,220.0180590802018,222.91188245233806,383527
2010-04-16,216.7296142578125,220.938810436387,214.14271676057027,220.4565043380991,441150
2010-04-19,213.66041564941406,215.41424631636812,208.2673917007967,211.38044381077341,402652
2010-04-20,214.53733825683594,217.21193279075698,213.52889094141213,215.85271130164958,161161
2010-04-21,218.52734375,222.29808314215455,212.5643155694613,216.5981322923557,1118870
2010-04-22,215.9404296875,222.73652442893402,214.9319822716834,220.10577807741117,838622
2010-04-23,211.99429321289062,218.70269052072157,211.33660667758693,217.38731745011418,439481
2010-04-26,205.505126953125,219.22884745131023,204.4966662264488,219.22884745131023,844907
2010-04-27,196.51675415039062,206.95204246477985,195.46444492484915,205.50513735066178,1374203
2010-04-28,190.50987243652344,194.45599177352852,186.43222114055175,193.79830521736102,1342097
2010-04-29,194.89443969726562,200.6382380090214,191.16754939934268,191.16754939934268,1651674
2010-04-30,200.46286010742188,201.9536135690128,192.92138252902075,196.42904402954838,2636307
2010-05-03,194.6752166748047,203.3128386227779,191.60601280831003,198.97209673563043,814547
