Price,Close,High,Low,Open,Volume
Ticker,NSIL.NS,NSIL.NS,NSIL.NS,NSIL.NS,NSIL.NS
Date,,,,,
2010-01-04,1188.300048828125,1205.0,1187.0,1203.0,151
2010-01-05,1198.0,1210.0,1173.0999755859375,1189.6500244140625,557
2010-01-06,1189.5999755859375,1198.75,1185.5,1190.0,226
2010-01-07,1186.449951171875,1209.800048828125,1184.800048828125,1204.0,232
2010-01-08,1215.050048828125,1290.0,1209.0,1209.0,1433
2010-01-11,1286.300048828125,1329.8499755859375,1220.0,1220.0,2816
2010-01-12,1248.5999755859375,1350.0,1240.0,1350.0,1258
2010-01-13,1276.75,1289.0,1220.0999755859375,1230.0,740
2010-01-14,1302.75,1367.0,1282.199951171875,1300.0,2459
2010-01-15,1296.75,1329.199951171875,1283.0,1283.0999755859375,1331
2010-01-18,1277.4000244140625,1310.0,1253.0,1300.0,617
2010-01-19,1250.949951171875,1309.0,1246.0,1297.9000244140625,602
2010-01-20,1243.5999755859375,1260.0,1220.0,1234.4000244140625,311
2010-01-21,1187.699951171875,1240.0,1180.0,1240.0,676
2010-01-22,1168.0999755859375,1198.0,1140.0,1150.0,461
2010-01-25,1176.8499755859375,1199.0,1141.0,1141.0,576
2010-01-27,1081.4000244140625,1170.0,1066.199951171875,1133.0,657
2010-01-28,1059.8499755859375,1141.0,1057.0,1141.0,573
2010-01-29,1091.6500244140625,1099.5,1030.0,1030.0,491
2010-02-01,1090.0,1099.949951171875,1054.050048828125,1055.0,303
2010-02-02,1062.449951171875,1127.4000244140625,1060.0,1121.0,151
2010-02-03,1089.9000244140625,1095.4000244140625,1071.0,1095.4000244140625,136
2010-02-04,1060.550048828125,1091.5,1060.0,1066.0,304
2010-02-05,1030.5,1070.0,1010.0999755859375,1070.0,412
2010-02-08,1064.0,1099.0,1024.0,1025.0,1051
2010-02-09,1084.0,1084.9000244140625,1053.0,1053.0,31
2010-02-10,1101.199951171875,1132.0,1069.5,1069.5,625
2010-02-11,1092.3499755859375,1118.9000244140625,1080.0,1118.699951171875,480
2010-02-15,1080.0,1102.5999755859375,1065.5,1102.5999755859375,92
2010-02-16,1064.949951171875,1078.0,1052.0,1075.0,191
2010-02-17,1075.300048828125,1096.800048828125,1061.25,1061.25,257
2010-02-18,1055.699951171875,1105.800048828125,1055.0,1105.800048828125,115
2010-02-19,1038.0,1068.0,1035.5,1068.0,127
2010-02-22,1040.050048828125,1111.0999755859375,1040.0,1040.0,332
2010-02-23,1028.9000244140625,1078.0,1010.0499877929688,1078.0,90
2010-02-24,1019.5999755859375,1039.0,1002.0,1039.0,55
2010-02-25,1017.4000244140625,1023.7999877929688,1003.0,1003.5999755859375,188
2010-02-26,1024.300048828125,1035.0,1004.0,1004.0,192
2010-03-02,1023.2999877929688,1054.9000244140625,1015.5,1049.5,2317
2010-03-03,1059.199951171875,1070.0,1007.0,1041.0,256
2010-03-04,1052.5,1061.9000244140625,1031.0,1042.0,348
2010-03-05,1106.550048828125,1132.0,1060.0,1069.0,1162
2010-03-08,1136.5999755859375,1200.0,1090.0,1090.0,1217
2010-03-09,1114.4000244140625,1168.9000244140625,1110.0,1151.0,395
2010-03-10,1118.949951171875,1141.0,1100.0,1141.0,173
2010-03-11,1101.300048828125,1120.949951171875,1100.0,1100.0,117
2010-03-12,1088.25,1128.0,1085.0,1103.0,202
2010-03-15,1072.4000244140625,1092.5999755859375,1070.1500244140625,1092.5999755859375,295
2010-03-16,1080.0,1093.0,1062.0,1081.0,125
2010-03-17,1081.3499755859375,1140.9000244140625,1077.3499755859375,1105.0,210
