Price,Close,High,Low,Open,Volume
Ticker,PAISALO.NS,PAISALO.NS,PAISALO.NS,PAISALO.NS,PAISALO.NS
Date,,,,,
2010-01-04,4.4870147705078125,4.521102429996978,4.19996091593069,4.306410082185972,192320
2010-01-05,4.299831867218018,4.543827994049287,4.259764003286584,4.543827994049287,896560
2010-01-06,4.036101341247559,4.34049862217181,4.0067980207887155,4.294450090904715,1087920
2010-01-07,4.024140357971191,4.1084622759772556,3.985268351173097,4.054639988690961,891680
2010-01-08,4.137765884399414,4.168265057649247,3.9834741777721936,3.9834741777721936,269040
2010-01-11,4.4026923179626465,4.425417269416793,4.3046155393034145,4.3046155393034145,88320
2010-01-12,4.365614891052246,4.497181184716843,4.356644358243239,4.426613692885041,65440
2010-01-13,4.304018974304199,4.365615948243511,4.26155892873691,4.3650177909086585,21760
2010-01-14,4.308205604553223,4.4218313280182935,4.275313791671615,4.4218313280182935,16160
2010-01-15,4.353654384613037,4.413457326949699,4.269930174089663,4.269930174089663,20080
2010-01-18,4.365614891052246,4.425417834765291,4.246607160816158,4.246607160816158,596640
2010-01-19,4.105472564697266,4.335713828474545,4.090521827357699,4.250195592641807,875840
2010-01-20,4.079158782958984,4.425417885802022,4.009787604707151,4.4134574794255785,45200
2010-01-21,3.9705970287323,4.055767286490454,3.9586014498039983,4.054567454036421,19920
2010-01-22,4.283087730407715,4.367657628152292,3.7306826276001774,3.7306826276001774,1622160
2010-01-25,4.1007513999938965,4.3874500382669614,4.092953861837062,4.366457546310106,29520
2010-01-27,4.23570442199707,4.378453848484898,3.857237757623002,3.9586021095890853,1537920
2010-01-28,4.166128635406494,4.318474887747616,4.019780173333497,4.317275512734817,44000
2010-01-29,4.260294437408447,4.354461142765932,3.9010215243059356,4.114545923246024,36320
2010-02-01,4.415039539337158,4.4360320279819,4.210511610079402,4.211111526212661,24800
2010-02-02,4.318474769592285,4.666352086850262,4.317874853301267,4.438432402080959,17040
2010-02-03,4.3244733810424805,4.474420450132734,4.220110349084263,4.253098887324975,53600
2010-02-04,4.290884494781494,4.43843232527711,4.227307097095315,4.43843232527711,1467360
2010-02-05,4.2584943771362305,4.317273796644348,4.247098259835235,4.317273796644348,31360
2010-02-08,4.227906703948975,4.398846241757844,4.102551195423158,4.102551195423158,15040
2010-02-09,4.241702556610107,4.40064653360838,4.236904140808909,4.40064653360838,7360
2010-02-10,4.2183098793029785,4.376053987191427,4.1511334463760665,4.318474383654936,41760
2010-02-11,4.342466831207275,4.365258618971638,4.342466831207275,4.342466831207275,1440
2010-02-15,4.2375030517578125,4.3328691407681195,4.130140926090795,4.3328691407681195,12960
2010-02-16,4.270490646362305,4.326870868351658,4.0845564461530675,4.198516264862587,875520
2010-02-17,4.1523332595825195,4.318474363615625,3.9004219804770686,3.9004219804770686,74080
2010-02-18,4.079158782958984,4.180522655390041,4.078558866761789,4.1217436809202885,30000
2010-02-19,4.082756996154785,4.196116894280393,4.078558498357612,4.114545687705085,36160
2010-02-22,4.102550506591797,4.426436157196778,4.0905544705830295,4.1055491723925,6880
2010-02-23,4.188320636749268,4.318474551605101,4.080958506179064,4.318474551605101,56160
2010-02-24,4.116344928741455,4.306478074804307,4.1145456379361365,4.288484251547251,18880
2010-02-25,4.0845561027526855,4.198515911881275,4.078558314398953,4.161328891925065,8800
2010-02-26,4.378452777862549,4.378452777862549,4.078558751981553,4.138537557157751,34640
2010-03-02,4.244699478149414,4.312475815070442,4.139736578063008,4.198516003456245,13600
2010-03-03,4.318474769592285,4.364058798066556,4.116945910403148,4.138538320859273,47680
2010-03-04,4.2339043617248535,4.354461908872571,4.198517080268713,4.2021156627620035,19520
2010-03-05,4.218908786773682,4.260294307309684,4.1985162133861715,4.259694391150654,2880
2010-03-08,4.328071594238281,4.702339278989934,4.262694446663508,4.378453580169327,25600
2010-03-09,4.882275581359863,5.122190838845832,4.600974795524913,4.696341348328645,1597280
2010-03-10,4.925459861755371,5.218156279111337,3.9610005224123843,4.822896155319559,2237600
2010-03-11,5.155179500579834,5.216958070819334,4.819298193283781,4.9452536263195395,775360
2010-03-12,5.865327835083008,6.151426555012435,4.993235890164806,4.993235890164806,6204080
2010-03-15,6.225800514221191,6.296575526656223,5.757965624213081,5.852732251602733,5080320
2010-03-16,6.381744861602783,6.573676852098312,5.943299491511436,5.943299491511436,2056320
2010-03-17,6.273784160614014,6.4633174417997585,6.191613474268775,6.381746214150458,1130960
2010-03-18,6.901161193847656,6.901161193847656,6.21620334690174,6.261787367074556,1836800
2010-03-19,7.291624069213867,7.530939398099341,7.029516499176053,7.137478542523944,2960160
2010-03-22,7.542335510253906,7.830833445764174,7.113486918548093,7.341406584204921,1703280
2010-03-23,7.618509292602539,8.037161645323241,7.27063242132143,7.557331099333794,3203840
2010-03-25,8.380838394165039,8.380838394165039,7.510546239435892,7.677287248651219,2623360
2010-03-26,8.800091743469238,8.800091743469238,8.636949294686609,8.663340119519694,306000
2010-03-29,9.16776180267334,9.240335652856334,8.740712037851548,8.876864197681224,1513760
2010-03-30,9.528234481811523,9.626599700712195,9.14197077106369,9.236737407536936,2695040
2010-03-31,9.059199333190918,9.955282928074686,9.052002168638932,9.955282928074686,1952800
2010-04-01,9.339302062988281,9.512640808720766,8.606360840912872,8.638149540928564,1865120
2010-04-05,9.806534767150879,9.806534767150879,9.596608946447343,9.596608946447343,152896
2010-04-06,9.317708015441895,10.298360958865645,9.317708015441895,10.298360958865645,221968
2010-04-07,9.263724327087402,9.740555544859337,8.852870147207526,8.852870147207526,1173344
2010-04-08,8.918848991394043,9.28472010370331,8.801890493263711,9.008817207679533,378336
2010-04-09,8.762906074523926,9.266727802562139,8.696929005640843,9.008818690388507,304832
2010-04-12,8.400031089782715,8.984824387467356,8.325057590079556,8.984824387467356,234800
2010-04-13,8.025164604187012,8.498996816035582,7.980180498687313,8.400032150017832,171520
2010-04-15,7.698279857635498,8.187106744036708,7.626305018291582,8.187106744036708,194496
2010-04-16,7.3324103355407715,7.923202045631222,7.314416507504757,7.617309714631312,168992
2010-04-19,7.7012786865234375,7.7012786865234375,6.966538736069268,6.990530351118031,357792
2010-04-20,8.088140487670898,8.088140487670898,8.088140487670898,8.088140487670898,16640
2010-04-21,8.493000984191895,8.493000984191895,8.391036261556927,8.493000984191895,120320
2010-04-22,8.534985542297363,8.91884959153015,8.409029664940686,8.912852259163312,369168
2010-04-23,8.45401382446289,8.69092996160398,8.283074750162957,8.283074750162957,51104
2010-04-26,8.1751127243042,8.696928235386574,8.03116301818224,8.573971480742015,125664
2010-04-27,8.052155494689941,8.21409810372111,7.890212885658773,7.935196994567655,23440
2010-04-28,8.457012176513672,8.457012176513672,7.917202888651097,7.917202888651097,271712
2010-04-29,8.487000465393066,8.816883875708697,8.097138253201866,8.546979267268636,111296
2010-04-30,8.912851333618164,8.912851333618164,8.06415064189387,8.63694844768012,6169536
2010-05-03,9.359694480895996,9.359694480895996,9.128775671708025,9.359694480895996,123600
2010-05-04,9.626599311828613,9.82752869781444,9.311710549292163,9.82752869781444,2750624
2010-05-05,10.109428405761719,10.109428405761719,9.302713610483938,9.3327030148824,424672
2010-05-06,9.989472389221191,10.616250858564541,9.668585344646202,10.610252610641888,510688
2010-05-07,10.115427017211914,10.250379354077674,9.49164769289182,9.554625633136663,402256
2010-05-10,10.622247695922852,10.622247695922852,10.622247695922852,10.622247695922852,52752
2010-05-11,11.156059265136719,11.156059265136719,11.156059265136719,11.156059265136719,308704
2010-05-12,11.09607982635498,11.71386175107933,10.796185776994035,11.71386175107933,969296
2010-05-13,11.102078437805176,11.650884200066459,10.616249695813453,11.365984843822877,2104208
2010-05-14,11.659880638122559,11.659880638122559,11.09907929738228,11.279015732632345,650784
2010-05-17,12.238676071166992,12.244673402901315,11.674874721513424,12.244673402901315,508544
2010-05-18,12.847460746765137,12.847460746765137,12.70351197077608,12.847460746765137,451480
2010-05-19,12.679521560668945,13.147356516787607,12.211687519754404,12.835466851109873,216480
2010-05-20,12.307652473449707,12.883449455039663,12.127716031103354,12.475593336013784,13840
2010-05-21,12.931432723999023,12.931432723999023,11.695868783830667,11.99576285521094,63024
2010-05-24,12.367630958557129,13.43525400445169,12.307652146037254,13.195338754372195,72808
2010-05-25,11.755847930908203,12.595551354544503,11.755847930908203,12.595551354544503,20640
2010-05-26,12.343642234802246,12.343642234802246,11.455955451343186,11.755849573106095,898668
2010-05-27,12.367630958557129,12.847461458716117,11.875804878934975,12.847461458716117,175492
2010-05-28,12.175697326660156,12.823468599001087,12.043744139658319,12.823468599001087,81884
2010-05-31,11.923788070678711,12.475592960908871,11.815826025476191,12.475592960908871,5984
2010-06-01,11.911792755126953,12.355635609986592,11.695868659938764,11.995762728142322,98512
2010-06-02,11.86380672454834,12.511577942211364,11.647882680259382,11.9237855240504,95868
2010-06-03,11.851813316345215,12.23567733731668,11.803830084922778,12.23567733731668,20352
2010-06-04,12.127714157104492,12.235676188870606,11.827820132867467,12.055739774328392,28864
2010-06-07,11.755847930908203,11.995763194804288,11.731856770600235,11.731856770600235,7404
2010-06-08,11.611898422241211,12.115720079257427,11.575910768795463,12.115720079257427,8944
2010-06-09,11.791833877563477,12.187693456496948,11.64788419096624,11.70786299824743,26252
2010-06-10,12.391624450683594,12.391624450683594,11.587907721824093,11.69586977975497,99032
2010-06-11,12.955424308776855,13.015403125021193,12.223682933636761,12.9914119646051,53988
2010-06-14,12.823468208312988,13.411260658181027,12.763489405575514,13.411260658181027,14024
2010-06-15,12.97941780090332,13.303304015930316,12.763494572756262,12.907443391520967,37692
2010-06-16,12.871454238891602,13.195339478183557,12.835466583324006,13.147356242494798,8228
2010-06-17,12.679521560668945,13.195339753477437,12.65553039992609,12.955424485232394,8068
2010-06-18,12.319647789001465,13.171347663336956,12.127715770989374,13.075381196728884,16800
2010-06-21,12.139710426330566,12.67951970069672,12.055740460844092,12.67951970069672,5108
2010-06-22,12.091728210449219,12.511579871711984,11.971770592945571,12.511579871711984,21744
