Price,Close,High,Low,Open,Volume
Ticker,PAYTM.NS,PAYTM.NS,PAYTM.NS,PAYTM.NS,PAYTM.NS
Date,,,,,
2021-11-18,1560.800048828125,1955.0,1560.0,1950.0,23955434
2021-11-22,1359.5999755859375,1519.0,1271.0,1509.0,25114710
2021-11-23,1494.699951171875,1525.0,1360.0,1360.0,12954174
2021-11-24,1752.449951171875,1785.0,1502.949951171875,1503.0,21541021
2021-11-25,1798.75,1873.699951171875,1711.0999755859375,1766.699951171875,13018344
2021-11-26,1782.5999755859375,1832.0,1663.0,1760.0,6527364
2021-11-29,1736.449951171875,1810.0,1700.0,1700.0,4564112
2021-11-30,1699.5999755859375,1770.0,1678.199951171875,1729.949951171875,2200149
2021-12-01,1636.699951171875,1725.0,1629.1500244140625,1715.0,1294466
2021-12-02,1600.8499755859375,1671.6500244140625,1592.0,1642.0,1089716
2021-12-03,1648.3499755859375,1698.0,1601.0,1615.0,1322036
2021-12-06,1604.449951171875,1680.050048828125,1598.699951171875,1658.0,632800
2021-12-07,1577.5,1635.0,1571.0,1623.3499755859375,631249
2021-12-08,1553.4000244140625,1610.0,1546.25,1590.25,726491
2021-12-09,1593.949951171875,1644.699951171875,1525.0999755859375,1550.0,2849040
2021-12-10,1567.550048828125,1609.0,1563.0,1605.0,845711
2021-12-13,1555.050048828125,1578.75,1546.0999755859375,1578.0,740610
2021-12-14,1496.050048828125,1555.050048828125,1490.75,1547.0,1386088
2021-12-15,1379.949951171875,1429.949951171875,1296.0,1421.300048828125,13139593
2021-12-16,1399.3499755859375,1435.0,1390.550048828125,1435.0,2323522
2021-12-17,1321.0,1411.0,1307.0,1411.0,2503637
2021-12-20,1304.0,1327.5999755859375,1290.0,1321.0,1740923
2021-12-21,1311.449951171875,1348.949951171875,1306.0,1306.0,995207
2021-12-22,1342.199951171875,1350.0,1330.550048828125,1348.0999755859375,966463
2021-12-23,1348.800048828125,1385.0,1344.0,1358.449951171875,1268283
2021-12-24,1369.550048828125,1381.0,1331.1500244140625,1348.699951171875,1340599
2021-12-27,1344.949951171875,1365.3499755859375,1335.300048828125,1365.0,717268
2021-12-28,1353.5,1364.199951171875,1345.0,1350.0,1112292
2021-12-29,1341.550048828125,1379.1500244140625,1340.0,1353.5,1096725
2021-12-30,1327.949951171875,1350.0,1325.0999755859375,1330.0,806752
2021-12-31,1334.550048828125,1347.800048828125,1330.050048828125,1336.0,407521
2022-01-03,1339.800048828125,1346.8499755859375,1335.0,1335.0,502075
2022-01-04,1317.75,1350.0,1313.0,1350.0,1588242
2022-01-05,1288.3499755859375,1325.699951171875,1285.3499755859375,1323.5,1731917
2022-01-06,1254.050048828125,1287.0,1251.0,1287.0,1765486
2022-01-07,1231.5999755859375,1265.0,1230.0,1265.0,1807539
2022-01-10,1158.050048828125,1230.0,1152.050048828125,1230.0,4560745
2022-01-11,1119.6500244140625,1215.0,1113.6500244140625,1165.0,6462743
2022-01-12,1082.699951171875,1133.8499755859375,1075.0,1124.0,6400253
2022-01-13,1031.800048828125,1087.9000244140625,1025.0,1085.0,5750658
2022-01-14,1118.5999755859375,1128.0,1000.0,1025.0,16212066
2022-01-17,1105.300048828125,1145.9000244140625,1092.0,1127.699951171875,5521603
2022-01-18,1041.6500244140625,1118.449951171875,1030.0,1105.5,4933836
2022-01-19,997.3499755859375,1051.9000244140625,990.0,1044.8499755859375,7289774
2022-01-20,995.3499755859375,1036.0999755859375,990.0,1013.0,4846568
2022-01-21,960.2999877929688,999.2999877929688,952.2999877929688,995.0499877929688,4328259
2022-01-24,917.4500122070312,960.2999877929688,881.0499877929688,960.2999877929688,7942445
2022-01-25,914.7999877929688,938.0,875.0,900.0,6091452
2022-01-27,893.7000122070312,913.0,881.0,904.0,2459507
2022-01-28,903.0499877929688,923.9000244140625,900.0,900.4000244140625,2209828
2022-01-31,916.8499755859375,932.0,911.0,920.0,1609589
2022-02-01,965.5999755859375,977.0,921.2000122070312,925.0,5469324
2022-02-02,957.0999755859375,994.0,950.0999755859375,975.0,2672904
2022-02-03,944.5,959.0,940.0499877929688,959.0,1410694
2022-02-04,953.2999877929688,961.9000244140625,946.0499877929688,950.3499755859375,1272194
2022-02-07,957.5499877929688,984.5,881.2999877929688,941.0,3854849
2022-02-08,937.9500122070312,976.75,931.75,965.75,1760398
2022-02-09,941.5,955.0,936.2000122070312,948.75,833193
2022-02-10,938.3499755859375,958.75,935.75,958.75,1036415
2022-02-11,906.5,934.4500122070312,903.0,933.0,1272179
2022-02-14,863.5,895.9500122070312,860.0,895.9500122070312,1866242
2022-02-15,851.5,884.4500122070312,840.0,874.0,2446406
2022-02-16,861.3499755859375,883.2999877929688,856.0,865.0,2793265
2022-02-17,849.9500122070312,869.7999877929688,845.25,865.0,1362229
2022-02-18,833.4000244140625,848.0,831.0,844.7999877929688,1325802
2022-02-21,807.7000122070312,834.0,805.0,832.5,1975577
2022-02-22,815.9000244140625,834.6500244140625,785.0,800.0,3701578
2022-02-23,821.9500122070312,837.0499877929688,815.25,823.0,1575013
2022-02-24,777.75,802.8499755859375,771.1500244140625,790.0,1917591
2022-02-25,789.3499755859375,806.7000122070312,785.7999877929688,801.0999755859375,1460303
2022-02-28,798.0999755859375,806.9000244140625,772.4000244140625,785.7999877929688,1334742
2022-03-02,797.2000122070312,806.6500244140625,783.5499877929688,789.0,1697859
2022-03-03,796.2999877929688,817.4500122070312,791.75,805.4500122070312,1254749
2022-03-04,784.8499755859375,798.5499877929688,782.25,787.0,1020058
2022-03-07,753.4500122070312,778.0,751.0,774.8499755859375,1157890
2022-03-08,737.75,764.9500122070312,728.0499877929688,753.0,1808389
2022-03-09,749.8499755859375,759.7999877929688,742.0999755859375,750.0,1399649
2022-03-10,775.5999755859375,795.7999877929688,761.0,766.5,2236562
2022-03-11,775.0499877929688,781.0,766.5999755859375,771.0,919363
2022-03-14,674.7999877929688,719.0,661.5,675.0,15155319
2022-03-15,592.4500122070312,703.3499755859375,584.5499877929688,695.0499877929688,23922506
2022-03-16,634.0499877929688,648.6500244140625,572.0,597.0,33733481
2022-03-17,597.0499877929688,637.0,590.0,633.0,16758410
2022-03-21,565.7000122070312,595.0,560.0999755859375,595.0,12853207
2022-03-22,544.0,590.4500122070312,540.3499755859375,565.75,26111441
2022-03-23,524.2999877929688,562.0,521.0,552.0,8888824
2022-03-24,574.3499755859375,595.0,521.0999755859375,522.0,24014616
2022-03-25,546.0,588.0,541.1500244140625,577.5999755859375,8790875
2022-03-28,535.5499877929688,554.0,532.7999877929688,552.0,3748018
2022-03-29,524.7999877929688,546.9000244140625,523.5,540.0,4147495
2022-03-30,541.2999877929688,549.0499877929688,529.0499877929688,530.0,5146752
2022-03-31,528.4500122070312,548.8499755859375,525.5,546.7000122070312,4345898
2022-04-01,571.2999877929688,582.4500122070312,530.0,532.0,15351166
2022-04-04,610.5499877929688,619.9000244140625,572.4000244140625,579.0,15909548
2022-04-05,609.0499877929688,629.25,603.0999755859375,613.75,8883858
2022-04-06,637.2000122070312,648.9000244140625,595.0999755859375,602.9500122070312,17324330
2022-04-07,624.1500244140625,657.4000244140625,615.5999755859375,648.0,7970783
2022-04-08,616.9500122070312,634.4000244140625,613.5999755859375,627.0,4395328
2022-04-11,687.6500244140625,699.0,616.5,619.0,21571690
2022-04-12,699.0999755859375,719.7000122070312,678.75,691.0,20061815
2022-04-13,691.2000122070312,713.0999755859375,685.25,702.7000122070312,6132101
2022-04-18,661.3499755859375,683.4500122070312,654.2999877929688,682.7000122070312,4968319
2022-04-19,656.6500244140625,694.5,634.0,672.0,8060454
2022-04-20,639.3499755859375,674.5,636.2999877929688,660.0,5258416
2022-04-21,641.1500244140625,659.25,638.4000244140625,653.9500122070312,3304115
2022-04-22,625.5999755859375,654.9000244140625,622.2999877929688,644.5999755859375,4460340
2022-04-25,599.0499877929688,620.0,596.5,620.0,4351211
2022-04-26,613.4000244140625,623.0,604.0,610.0,4758850
2022-04-27,592.0999755859375,609.4500122070312,590.0,609.4000244140625,3000929
2022-04-28,582.25,603.75,580.4000244140625,600.0,3173879
2022-04-29,581.6500244140625,595.25,580.0,589.6500244140625,2695346
2022-05-02,601.0999755859375,608.3499755859375,573.0999755859375,577.8499755859375,5757317
2022-05-04,583.2000122070312,608.7000122070312,580.0,606.9500122070312,3216143
2022-05-05,575.2000122070312,592.7999877929688,572.0,590.0,2061060
2022-05-06,568.0,576.0,546.6500244140625,561.0,3140474
2022-05-09,556.2000122070312,563.7000122070312,553.0,563.7000122070312,1721887
2022-05-10,545.7999877929688,573.0,535.0,558.2000122070312,2371281
2022-05-11,530.5999755859375,555.0,518.5499877929688,555.0,3062907
2022-05-12,515.9000244140625,526.9000244140625,510.04998779296875,526.0,2218786
2022-05-13,543.1500244140625,555.75,517.0499877929688,523.0,4288609
2022-05-16,591.5,599.4000244140625,547.5999755859375,555.0,5561715
2022-05-17,585.7000122070312,602.9000244140625,577.6500244140625,590.0,4008281
2022-05-18,588.2000122070312,606.2999877929688,580.0,584.2999877929688,3511716
2022-05-19,553.75,571.75,550.0,560.0,2059220
2022-05-20,575.5,582.25,561.2999877929688,563.5499877929688,2176827
2022-05-23,619.3499755859375,631.5,552.0,561.0,16047559
2022-05-24,646.4500122070312,651.7000122070312,611.0,619.3499755859375,10113753
2022-05-25,594.0999755859375,652.0,571.5499877929688,647.0,6316785
2022-05-26,606.0,610.0999755859375,575.3499755859375,594.0,5162570
2022-05-27,616.2999877929688,624.0,604.0,607.0,3765017
2022-05-30,643.5,647.6500244140625,620.3499755859375,622.0,3499929
2022-05-31,652.9500122070312,664.0,633.5,642.0,5336623
2022-06-01,654.4000244140625,676.9000244140625,648.2999877929688,656.0,3701972
2022-06-02,634.2999877929688,661.0,632.0999755859375,654.4000244140625,2589114
2022-06-03,623.4500122070312,645.0,620.75,642.5999755859375,2082406
2022-06-06,614.5,620.5999755859375,603.5,616.0,1874878
2022-06-07,617.7999877929688,627.9500122070312,614.2000122070312,621.4000244140625,2044146
2022-06-08,615.2999877929688,639.4000244140625,610.7999877929688,619.25,3133160
2022-06-09,623.1500244140625,631.7999877929688,609.0499877929688,611.7999877929688,2369538
2022-06-10,600.5,619.0,594.0,615.0,1877042
2022-06-13,582.25,597.4000244140625,578.0,590.0,2395179
2022-06-14,606.5,612.7000122070312,582.8499755859375,585.0,3938122
2022-06-15,617.0999755859375,625.0,611.9000244140625,614.7999877929688,3006923
2022-06-16,613.9500122070312,645.0,607.2000122070312,626.0,6798025
2022-06-17,630.1500244140625,648.0,599.5499877929688,613.0,9659716
2022-06-20,644.3499755859375,654.0,619.5499877929688,642.0,4794450
2022-06-21,638.5,659.0,631.75,655.0,2866888
2022-06-22,621.7000122070312,639.0,618.2000122070312,639.0,1386867
2022-06-23,628.0,634.9000244140625,621.1500244140625,621.7000122070312,1446201
2022-06-24,648.0499877929688,653.8499755859375,631.4000244140625,631.9500122070312,3062627
2022-06-27,701.3499755859375,709.0,651.0499877929688,651.0499877929688,11237251
2022-06-28,707.0999755859375,723.5999755859375,701.4000244140625,702.1500244140625,9391690
2022-06-29,705.6500244140625,713.7999877929688,690.2000122070312,696.9500122070312,4190996
2022-06-30,675.7000122070312,717.9500122070312,667.7999877929688,706.6500244140625,3822925
2022-07-01,657.0,675.7000122070312,652.0,672.9000244140625,3069693
2022-07-04,644.75,668.4000244140625,632.0,660.0499877929688,3931884
2022-07-05,656.25,661.7999877929688,642.5999755859375,649.0,2579166
2022-07-06,690.75,697.1500244140625,656.2999877929688,658.0,4018397
2022-07-07,690.75,704.6500244140625,686.8499755859375,697.5999755859375,2710786
2022-07-08,698.75,706.0,692.0,695.0,1878051
2022-07-11,709.5999755859375,719.0,697.4500122070312,703.0,3828657
2022-07-12,697.0999755859375,709.6500244140625,692.0,709.6500244140625,1708504
2022-07-13,707.75,718.7999877929688,701.2000122070312,703.7999877929688,2324425
2022-07-14,718.3499755859375,739.1500244140625,708.25,713.6500244140625,6904585
2022-07-15,709.3499755859375,728.0,698.5999755859375,723.2000122070312,2763841
2022-07-18,731.0499877929688,735.0,708.6500244140625,715.0,2492843
2022-07-19,737.4000244140625,743.3499755859375,726.0499877929688,731.0,2653661
2022-07-20,736.6500244140625,744.4500122070312,731.6500244140625,742.0,1771276
2022-07-21,745.0,749.4000244140625,735.0499877929688,738.0,1723686
2022-07-22,743.0499877929688,748.75,736.5499877929688,745.0,1337343
2022-07-25,758.0,763.2999877929688,726.5,737.7000122070312,2251194
2022-07-26,698.9000244140625,759.4000244140625,678.0999755859375,753.0,5503379
2022-07-27,713.7999877929688,719.0499877929688,692.0,696.9000244140625,2363631
2022-07-28,715.7000122070312,721.9500122070312,709.5,717.4000244140625,1351203
2022-07-29,706.7999877929688,728.0,702.0,720.0,1919162
2022-08-01,744.3499755859375,750.9500122070312,707.4500122070312,708.0,2436670
2022-08-02,755.7000122070312,770.0,739.0,744.0,2997094
2022-08-03,804.5499877929688,813.9500122070312,740.75,760.7000122070312,8520660
2022-08-04,809.0499877929688,825.0,779.7999877929688,805.2999877929688,6208743
2022-08-05,784.2999877929688,816.7000122070312,775.25,812.0,3595195
2022-08-08,834.9500122070312,844.7000122070312,776.1500244140625,784.0,11165166
2022-08-10,826.75,841.4500122070312,821.25,839.0,2508568
2022-08-11,825.7999877929688,842.0,821.0499877929688,830.0,1651453
2022-08-12,787.2999877929688,815.9500122070312,775.0,815.9500122070312,6972073
2022-08-16,783.9000244140625,798.25,780.0,789.7999877929688,1862999
2022-08-17,784.7000122070312,799.9000244140625,782.0499877929688,790.0,1673131
2022-08-18,786.2000122070312,794.7999877929688,782.5,789.0,1401288
2022-08-19,772.0999755859375,793.0,766.8499755859375,792.4000244140625,1365113
2022-08-22,776.3499755859375,800.0,773.2999877929688,790.0,3531632
2022-08-23,776.2000122070312,785.0,771.5,776.75,1019323
2022-08-24,768.2999877929688,782.0,766.0,779.7000122070312,855183
2022-08-25,768.7000122070312,781.0,765.75,775.7000122070312,820577
2022-08-26,762.0499877929688,776.75,760.0,773.0,692901
2022-08-29,726.4000244140625,747.4000244140625,723.0999755859375,747.0,1290417
2022-08-30,717.8499755859375,739.0,714.0999755859375,739.0,1730862
2022-09-01,732.3499755859375,736.0,716.7999877929688,717.8499755859375,1323093
2022-09-02,727.2000122070312,739.7000122070312,725.0,733.0,1128361
2022-09-05,708.7000122070312,718.0999755859375,681.0,700.0,2741103
2022-09-06,709.4500122070312,724.75,706.2999877929688,716.0,1221573
2022-09-07,706.75,715.4500122070312,703.5999755859375,707.0,758791
2022-09-08,707.0,718.9500122070312,705.0,713.75,748399
2022-09-09,727.9000244140625,740.0,708.2000122070312,713.75,2048848
2022-09-12,736.6500244140625,748.0,725.0,730.0,1511858
2022-09-13,735.7000122070312,743.5499877929688,733.0,739.9000244140625,784495
2022-09-14,725.6500244140625,732.9500122070312,711.9500122070312,724.0,1385890
2022-09-15,729.75,736.7999877929688,720.0,730.0,826887
2022-09-16,718.5999755859375,731.2000122070312,686.8499755859375,730.0,2351957
2022-09-19,706.9500122070312,725.0,702.0,720.5,967978
2022-09-20,697.4500122070312,714.7999877929688,690.5499877929688,710.0999755859375,892041
2022-09-21,684.5499877929688,705.0,680.7000122070312,699.9500122070312,854832
2022-09-22,685.0,692.4000244140625,680.0499877929688,683.0,613123
2022-09-23,692.5999755859375,707.0,688.0,706.0,1573621
2022-09-26,657.5,692.5999755859375,651.0,691.0999755859375,881195
2022-09-27,660.0,671.0999755859375,657.0,665.0,512978
