Price,Close,High,Low,Open,Volume
Ticker,RAMANEWS.NS,RAMANEWS.NS,RAMANEWS.NS,RAMANEWS.NS,RAMANEWS.NS
Date,,,,,
2010-01-04,48.79999923706055,49.099998474121094,46.099998474121094,47.95000076293945,178216
2010-01-05,48.0,50.0,47.5,49.04999923706055,90100
2010-01-06,46.0,48.5,45.599998474121094,48.5,198607
2010-01-07,47.150001525878906,48.29999923706055,46.5,47.0,155651
2010-01-08,49.0,49.099998474121094,44.79999923706055,48.400001525878906,482938
2010-01-11,48.849998474121094,50.0,47.599998474121094,50.0,75340
2010-01-12,46.45000076293945,48.20000076293945,46.45000076293945,47.04999923706055,28852
2010-01-13,44.150001525878906,46.400001525878906,44.150001525878906,46.400001525878906,169294
2010-01-14,41.95000076293945,45.0,41.95000076293945,45.0,196137
2010-01-15,44.04999923706055,44.04999923706055,40.79999923706055,41.0,30900
2010-01-18,46.25,46.25,45.349998474121094,45.45000076293945,32000
2010-01-19,43.95000076293945,48.599998474121094,43.95000076293945,48.599998474121094,67500
2010-01-20,41.75,43.95000076293945,41.75,42.0,35200
2010-01-21,39.70000076293945,39.70000076293945,39.70000076293945,39.70000076293945,21800
2010-01-22,37.75,37.75,37.75,37.75,9200
2010-01-25,35.900001525878906,35.900001525878906,35.900001525878906,35.900001525878906,9500
2010-01-27,34.099998474121094,34.099998474121094,34.099998474121094,34.099998474121094,10500
2010-01-28,32.75,35.849998474121094,32.400001525878906,32.599998474121094,1566053
2010-01-29,33.400001525878906,34.0,32.45000076293945,32.45000076293945,65137
2010-02-01,32.75,34.79999923706055,31.850000381469727,33.099998474121094,78345
2010-02-02,31.950000762939453,34.0,31.25,33.75,15011
2010-02-03,30.799999237060547,32.79999923706055,30.350000381469727,31.0,40200
2010-02-04,29.649999618530273,31.600000381469727,29.549999237060547,31.600000381469727,11137
2010-02-05,28.299999237060547,29.100000381469727,28.200000762939453,29.100000381469727,15533
2010-02-08,28.75,30.149999618530273,27.5,28.049999237060547,26349
2010-02-09,29.100000381469727,29.850000381469727,28.5,29.100000381469727,424495
2010-02-10,28.549999237060547,30.299999237060547,28.5,29.149999618530273,19360
2010-02-11,27.149999618530273,29.950000762939453,27.149999618530273,29.950000762939453,30211
2010-02-15,25.799999237060547,28.549999237060547,25.799999237060547,28.549999237060547,169119
2010-02-16,24.549999237060547,25.899999618530273,24.549999237060547,25.899999618530273,136838
2010-02-17,25.799999237060547,25.799999237060547,23.350000381469727,23.600000381469727,213252
2010-02-18,24.549999237060547,26.350000381469727,24.549999237060547,26.350000381469727,51140
2010-02-19,23.350000381469727,25.350000381469727,23.350000381469727,23.350000381469727,282352
2010-02-22,22.200000762939453,24.0,22.200000762939453,23.5,297080
2010-02-23,21.100000381469727,22.950000762939453,21.100000381469727,21.5,309610
2010-02-24,21.399999618530273,21.549999237060547,20.049999237060547,20.049999237060547,118599
2010-02-25,21.600000381469727,22.100000381469727,21.100000381469727,21.149999618530273,32016
2010-02-26,20.549999237060547,22.25,20.549999237060547,22.25,113384
2010-03-02,19.649999618530273,21.600000381469727,19.549999237060547,20.549999237060547,409726
2010-03-03,19.100000381469727,20.600000381469727,18.700000762939453,19.899999618530273,496187
2010-03-04,20.100000381469727,20.100000381469727,19.0,19.649999618530273,558765
2010-03-05,21.149999618530273,21.149999618530273,20.75,21.149999618530273,82080
2010-03-08,22.25,22.25,22.25,22.25,24751
2010-03-09,23.399999618530273,23.399999618530273,21.899999618530273,23.399999618530273,836498
