Price,Close,High,Low,Open,Volume
Ticker,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS
Date,,,,,
2010-01-04,104.818115234375,106.00096135671832,101.90650362190945,101.90650362190945,334491
2010-01-05,107.50227355957031,109.45851604119146,106.27393751728782,107.27480366500576,459468
2010-01-06,107.00182342529297,108.63960923488685,105.13657469185318,108.2756560614405,138351
2010-01-07,106.22845458984375,108.27568390742104,105.36407165471026,107.45679079202388,165265
2010-01-08,108.36664581298828,109.4130086142976,105.955463777405,106.81985345754295,223950
2010-01-11,113.87142944335938,114.64482568860694,109.0035751378044,109.0035751378044,1047032
2010-01-12,119.01226806640625,121.92388034263215,114.64484271023619,115.37274925020829,1420067
2010-01-13,123.60712432861328,125.01742631775956,115.19073278118881,115.73665904291569,916921
2010-01-14,121.37792205810547,127.01918617246741,119.69465328124424,126.47325290860671,621528
2010-01-15,120.55902862548828,124.38051958631918,120.10408889482606,121.92384781747494,464993
2010-01-18,115.50920867919922,121.55991615222291,115.0997656492738,121.55991615222291,356185
2010-01-19,113.91691589355469,117.37446093024747,113.32549974465698,116.37359482230903,257892
2010-01-20,113.73493957519531,116.464578125,105.13658092004248,111.91518054199219,191878
2010-01-21,110.04993438720703,113.68945277212441,107.59326225411996,112.8250699324387,361333
2010-01-22,109.09455871582031,111.36925757585898,105.77349699179786,106.45590664980946,208192
2010-01-25,103.5442886352539,108.91257206742539,102.81638226724951,107.82071945724837,259598
2010-01-27,101.04210662841797,104.49964406292823,98.08499868138527,102.36142893574724,241285
2010-01-28,101.45155334472656,104.54514470055487,99.35882794294682,101.04211039047046,207376
2010-01-29,97.76657104492188,99.08590077578513,94.26353558625816,95.17341528678541,507972
2010-02-01,102.72540283203125,103.9992355934808,96.0377895117087,97.35711208567034,284305
2010-02-02,99.13137817382812,105.36405889490449,98.35798191365838,104.45417930839177,298288
2010-02-03,102.31596374511719,103.27134015322295,100.22324471768341,100.45071462991518,117267
2010-02-04,98.58544158935547,103.45329548415344,98.31248190679919,102.81638261635918,107946
2010-02-05,95.67383575439453,97.35711152796056,95.53735243397998,96.44723198097026,266468
2010-02-08,97.44811248779297,100.08676495217097,95.5373665452541,100.08676495217097,177308
2010-02-09,100.45069122314453,101.17859060757439,95.53734087546886,98.26697918619654,372242
2010-02-10,103.0438461303711,120.51352852541095,101.90649683533388,101.90649683533388,340667
2010-02-11,102.99837493896484,107.36580009233455,102.04300545917398,105.4550541909219,298324
2010-02-15,103.5442886352539,104.59064449424454,102.36144252270415,104.18120150088556,126820
2010-02-16,106.7288818359375,107.36579479101638,102.81639670665129,103.54430317688193,356694
2010-02-17,106.7288818359375,110.09543364163545,105.68251888816741,108.73061421632592,270532
2010-02-18,104.72712707519531,108.18467188634531,104.22669752478514,108.18467188634531,62726
2010-02-19,101.81551361083984,104.72712512465246,100.54168097036079,104.72712512465246,95312
2010-02-22,99.5863037109375,103.27131828552268,98.76741775376688,102.54341194378286,103940
2010-02-23,96.62919616699219,100.08674090216228,96.08326987770991,98.8129082659507,92478
2010-02-24,96.44721984863281,98.94938828810206,95.53734041609854,95.53734041609854,162370
2010-02-25,98.53997039794922,99.99577647213103,95.53736472971163,99.63182321812783,129724
2010-02-26,100.99662780761719,102.27046053770087,97.35710968842378,98.5399558538936,175035
2010-03-02,102.72540283203125,104.59065174894839,101.08761686133468,104.59065174894839,104454
