Price,Close,High,Low,Open,Volume
Ticker,RPSGVENT.NS,RPSGVENT.NS,RPSGVENT.NS,RPSGVENT.NS,RPSGVENT.NS
Date,,,,,
2019-01-25,517.75,548.0,517.75,545.0,937399
2019-01-28,491.8999938964844,491.8999938964844,491.8999938964844,491.8999938964844,14281
2019-01-29,467.3500061035156,467.3500061035156,467.3500061035156,467.3500061035156,27484
2019-01-30,444.0,444.0,444.0,444.0,2487
2019-01-31,427.54998779296875,444.0,421.79998779296875,421.79998779296875,749474
2019-02-01,406.20001220703125,448.8999938964844,406.20001220703125,421.25,781468
2019-02-04,426.29998779296875,426.5,385.8999938964844,385.8999938964844,286140
2019-02-05,447.6000061035156,447.6000061035156,424.0,424.0,111441
2019-02-06,469.95001220703125,469.95001220703125,455.0,469.95001220703125,238114
2019-02-07,475.3500061035156,493.3999938964844,460.0,460.1000061035156,190195
2019-02-08,498.75,547.7999877929688,440.0,470.0,472395
2019-02-11,441.1499938964844,516.0,412.0,485.0,418890
2019-02-12,421.1499938964844,448.8999938964844,411.1000061035156,436.0,207442
2019-02-14,403.1499938964844,415.0,388.0,415.0,45221
2019-02-15,402.6000061035156,409.8500061035156,397.3500061035156,403.0,36070
2019-02-18,386.8999938964844,405.8999938964844,382.1000061035156,405.8999938964844,31873
2019-02-19,407.1499938964844,433.8999938964844,386.0,386.0,55225
2019-02-20,411.95001220703125,421.04998779296875,403.0,415.0,27037
2019-02-21,428.6499938964844,444.95001220703125,412.1000061035156,423.8999938964844,57345
2019-02-22,435.0,453.70001220703125,420.54998779296875,431.5,91953
2019-02-25,455.70001220703125,463.0,429.0,430.5,276781
2019-02-26,459.8999938964844,464.3999938964844,435.0,452.3999938964844,254458
2019-02-27,470.79998779296875,478.79998779296875,436.0,478.0,83592
2019-02-28,498.3500061035156,504.79998779296875,468.04998779296875,468.04998779296875,846964
2019-03-01,523.2000122070312,527.9500122070312,495.0,500.0,252605
2019-03-05,496.1499938964844,526.5,486.3999938964844,520.7999877929688,561043
2019-03-06,500.70001220703125,517.2000122070312,492.70001220703125,492.95001220703125,169334
2019-03-07,505.79998779296875,515.0,493.3999938964844,502.0,77562
2019-03-08,503.3999938964844,512.0,496.45001220703125,502.04998779296875,101068
2019-03-11,514.9500122070312,521.2999877929688,498.0,498.0,179514
2019-03-12,530.4000244140625,534.7999877929688,511.5,511.5,163933
2019-03-13,583.8499755859375,594.0,519.7999877929688,525.3499755859375,228195
2019-03-14,622.5,648.9000244140625,571.0,578.0,459949
2019-03-15,614.0999755859375,630.0,595.0,621.0,101256
2019-03-18,622.75,625.0,590.0,625.0,73821
2019-03-19,603.0499877929688,628.0,600.3499755859375,625.0,52154
2019-03-20,598.6500244140625,618.0,595.0,603.0499877929688,208075
2019-03-22,580.4500122070312,600.0,576.2000122070312,598.0,43393
2019-03-25,582.0499877929688,590.9500122070312,557.0999755859375,570.2999877929688,64296
2019-03-26,584.9000244140625,597.7000122070312,579.0,589.0,25619
2019-03-27,584.5999755859375,592.0999755859375,568.4000244140625,581.5,37528
2019-03-28,602.9000244140625,616.0,578.0499877929688,579.0,114483
2019-04-01,632.9500122070312,659.0,618.0,618.0,67319
2019-04-02,610.75,641.9000244140625,599.0,641.9000244140625,109778
2019-04-03,614.7000122070312,622.9000244140625,609.2000122070312,619.8499755859375,27173
2019-04-04,611.0,622.0,604.0,612.0,19097
2019-04-05,616.0999755859375,621.9500122070312,605.0,617.9500122070312,21305
2019-04-08,601.0499877929688,620.2000122070312,596.6500244140625,620.2000122070312,18829
2019-04-09,602.7000122070312,609.9000244140625,600.0,602.0,13881
2019-04-10,604.9000244140625,611.7000122070312,602.7000122070312,605.0499877929688,12439
2019-04-11,604.0,609.0499877929688,599.0,604.7999877929688,13593
2019-04-12,583.0999755859375,603.9000244140625,576.5999755859375,600.5499877929688,54639
2019-04-15,580.4500122070312,590.0,573.1500244140625,590.0,32627
2019-04-16,560.1500244140625,584.5499877929688,556.0,579.0,31968
2019-04-18,548.0,568.5999755859375,538.5,568.5999755859375,34343
2019-04-22,528.75,556.2000122070312,525.0,555.0,22700
2019-04-23,532.0999755859375,547.0,522.0,525.0999755859375,32298
2019-04-24,530.9500122070312,568.0,529.0,568.0,37238
2019-04-25,509.79998779296875,531.25,505.0,531.2000122070312,66132
2019-04-26,496.70001220703125,520.0,485.95001220703125,520.0,44026
2019-04-30,492.1000061035156,510.04998779296875,475.0,496.0,254415
2019-05-02,498.8500061035156,508.25,493.5,498.0,40559
2019-05-03,498.45001220703125,507.5,495.6000061035156,495.6000061035156,12824
2019-05-06,481.1499938964844,500.0,478.1000061035156,500.0,17849
2019-05-07,487.0,493.95001220703125,475.04998779296875,480.0,34863
2019-05-08,477.1499938964844,486.0,476.0,485.04998779296875,39928
2019-05-09,470.54998779296875,483.6499938964844,448.75,483.3999938964844,34542
2019-05-10,466.45001220703125,478.8999938964844,454.0,476.0,34813
2019-05-13,463.5,478.0,460.0,473.3999938964844,8911
2019-05-14,485.79998779296875,493.0,446.29998779296875,460.0,274942
2019-05-15,497.8500061035156,505.0,480.1000061035156,482.04998779296875,19453
2019-05-16,491.95001220703125,500.0,480.20001220703125,500.0,31087
2019-05-17,485.5,499.29998779296875,476.0,494.5,203584
2019-05-20,483.29998779296875,504.3999938964844,480.0,496.1499938964844,105213
2019-05-21,485.04998779296875,498.0,481.0,498.0,44954
2019-05-22,481.95001220703125,496.0,470.25,477.0,47812
2019-05-23,479.3999938964844,497.95001220703125,476.5,497.95001220703125,31610
2019-05-24,481.79998779296875,487.5,470.0,475.6000061035156,26426
2019-05-27,491.04998779296875,496.6000061035156,477.1000061035156,477.3999938964844,33976
2019-05-28,462.8500061035156,491.95001220703125,456.6000061035156,491.1000061035156,152206
2019-05-29,470.45001220703125,475.5,460.0,465.25,54320
2019-05-30,475.0,481.0,468.25,476.0,13864
2019-05-31,462.95001220703125,477.25,458.04998779296875,471.3500061035156,41839
2019-06-03,457.29998779296875,467.0,451.25,467.0,19225
