Price,Close,High,Low,Open,Volume
Ticker,SEAMECLTD.NS,SEAMECLTD.NS,SEAMECLTD.NS,SEAMECLTD.NS,SEAMECLTD.NS
Date,,,,,
2010-01-04,209.8238525390625,213.84310448258162,207.74159998884377,213.06830768086542,28296
2010-01-05,210.30810546875,213.06831454566333,209.1943451902876,212.9714594005708,33078
2010-01-06,220.86468505859375,220.86468505859375,209.24277676990323,212.53564487382397,114091
2010-01-07,214.76316833496094,222.17212854669532,213.84310360209494,221.78473753644218,120491
2010-01-08,221.5426025390625,229.14527262483463,217.18438740714652,217.91075659579917,126789
2010-01-11,223.33432006835938,227.4988249453186,220.18672023743682,221.7847265480822,89186
2010-01-12,214.90843200683594,227.1114407020336,213.84309936075962,225.36815163443114,104733
2010-01-13,214.8115997314453,217.66864912249926,211.13132595641753,213.0683105982195,37094
2010-01-14,218.0076141357422,219.79931595402795,215.48952834277625,215.48952834277625,22867
2010-01-15,227.88624572753906,238.24911059029336,216.45803340215676,220.3320026800477,342622
2010-01-18,224.64178466796875,234.0361569654308,223.72171994414867,229.0484275618665,72331
2010-01-19,225.36814880371094,230.50116080239331,223.77014246565838,223.8669828260747,88755
2010-01-20,221.49417114257812,228.56416741220343,218.00760796411848,226.38505988390912,57383
2010-01-21,217.47496032714844,228.3704992736186,215.0053018770111,221.5426252448932,83008
2010-01-22,212.0998077392578,222.7532227398598,205.51405732873636,222.7532227398598,48462
2010-01-25,209.049072265625,213.50412805125833,207.30578314167283,211.13132483327732,30144
2010-01-27,197.18502807617188,212.87459957573714,195.63543456445376,209.19432606892084,59299
2010-01-28,197.95980834960938,205.80460142085906,195.63543288006366,200.47789408996624,33090
2010-01-29,196.7491912841797,198.54090782699663,187.88749326067,197.52398802642534,59929
2010-02-01,203.48023986816406,205.75618792566843,190.35716613618334,194.71538152317194,35241
2010-02-02,199.36415100097656,207.4510530474488,197.66928943232418,206.19201006941728,32872
2010-02-03,199.1220245361328,205.3203693992416,197.57243093134568,205.3203693992416,26265
2010-02-04,196.41024780273438,204.35188196619575,194.715386222446,200.38105749545497,16960
2010-02-05,192.29415893554688,194.66696223605388,185.9989586642317,192.68154996411192,21253
2010-02-08,190.2602996826172,196.60392687991273,188.85598887479304,196.60392687991273,14727
2010-02-09,191.42250061035156,192.72997114996383,188.90442945208864,191.76147883262732,8616
2010-02-10,202.99598693847656,215.24740831732106,189.8244860751178,193.69845517869163,240335
2010-02-11,204.35186767578125,208.2258367312463,199.60626149404425,206.19199706591948,30824
2010-02-15,202.41490173339844,220.81625643643466,200.67161254276985,208.22585585014673,14506
2010-02-16,204.9813995361328,212.0998242049028,200.6716115432811,204.35188542116205,203198
2010-02-17,202.51174926757812,208.22584802304917,201.54325695119186,206.33729096169992,36082
2010-02-18,199.26727294921875,204.35185707064474,197.5724115754101,200.72001126962618,18217
2010-02-19,195.82913208007812,202.26961447798396,193.69845206298905,197.57242110424883,23430
2010-02-22,192.72996520996094,202.1243374429833,191.85832806243025,201.4463957973461,13741
2010-02-23,190.21188354492188,195.29646816633064,188.9044277948001,192.82682460120512,14685
2010-02-24,190.21188354492188,192.72996945911322,189.38867394922,192.24572330469334,7807
2010-02-25,187.35482788085938,190.79297841707552,186.4831907434612,190.2118771401305,9531
2010-02-26,191.80990600585938,195.1027739667588,185.70840146370347,185.95052454253488,16408
2010-03-02,195.63543701171875,198.0566676678044,192.24571409319887,195.2964588086591,64182
2010-03-03,196.79763793945312,201.44640406580652,195.6354501023698,201.44640406580652,14140
2010-03-04,196.65237426757812,201.3979808627904,196.0712729474205,201.3979808627904,11561
