Price,Close,High,Low,Open,Volume
Ticker,SELMC.NS,SELMC.NS,SELMC.NS,SELMC.NS,SELMC.NS
Date,,,,,
2010-01-04,84700.0,87700.0,82200.0,84700.0,2314
2010-01-05,87000.0,91250.0,84250.0,86050.0,2299
2010-01-06,86100.0,89900.0,85500.0,87400.0,849
2010-01-07,87050.0,88250.0,85200.0,86200.0,795
2010-01-08,88000.0,90000.0,87500.0,88000.0,973
2010-01-11,96700.0,99550.0,88450.0,89000.0,4193
2010-01-12,93950.0,99300.0,93600.0,97400.0,1437
2010-01-13,94250.0,94900.0,91650.0,93000.0,726
2010-01-14,95900.0,97900.0,94600.0,95500.0,582
2010-01-15,99250.0,104700.0,95250.0,96950.0,3351
2010-01-18,102500.0,104800.0,98000.0,98000.0,1702
2010-01-19,104250.0,107000.0,102500.0,103800.0,1638
2010-01-20,102050.0,106500.0,100850.0,105250.0,817
2010-01-21,97850.0,102500.0,97250.0,102000.0,776
2010-01-22,93450.0,96000.0,90200.0,96000.0,639
2010-01-25,97100.0,101000.0,92000.0,92000.0,1450
2010-01-27,90700.0,100800.0,88600.0,96000.0,764
2010-01-28,90750.0,94300.0,90050.0,92050.0,524
2010-01-29,91800.0,93600.0,86200.0,87500.0,727
2010-02-01,92800.0,93850.0,89150.0,91800.0,352
2010-02-02,93250.0,97900.0,92400.0,93800.0,624
2010-02-03,93600.0,96850.0,93100.0,94550.0,366
2010-02-04,91250.0,96300.0,90800.0,93550.0,437
2010-02-05,86500.0,89550.0,85350.0,88000.0,375
2010-02-08,89500.0,92200.0,88150.0,91250.0,379
2010-02-09,89350.0,90950.0,89000.0,90400.0,231
2010-02-10,89300.0,92800.0,89000.0,90500.0,321
2010-02-11,89450.0,91800.0,89000.0,90000.0,199
2010-02-15,88800.0,90900.0,88050.0,90700.0,126
2010-02-16,88850.0,90100.0,87600.0,89950.0,148
2010-02-17,89650.0,92200.0,89200.0,90400.0,285
2010-02-18,88250.0,90600.0,88000.0,89800.0,141
2010-02-19,86700.0,88000.0,86050.0,88000.0,130
2010-02-22,83900.0,88700.0,83500.0,88500.0,134
2010-02-23,82700.0,85000.0,82400.0,84250.0,118
2010-02-24,79600.0,82450.0,79000.0,80350.0,116
2010-02-25,80600.0,82000.0,80100.0,80450.0,119
2010-02-26,82400.0,84100.0,81500.0,82600.0,242
2010-03-02,82850.0,84000.0,82100.0,83250.0,137
2010-03-03,83950.0,84850.0,82750.0,83150.0,162
2010-03-04,82800.0,85250.0,82500.0,84500.0,167
2010-03-05,83050.0,84650.0,82600.0,83100.0,489
2010-03-08,83900.0,86600.0,83300.0,83500.0,301
2010-03-09,84300.0,86500.0,83800.0,86000.0,252
2010-03-10,83550.0,85350.0,83100.0,84100.0,138
2010-03-11,84100.0,89200.0,83100.0,84500.0,4264
2010-03-12,82550.0,85700.0,82150.0,84300.0,466
2010-03-15,75000.0,87000.0,74000.0,82200.0,3605
2010-03-16,73600.0,79000.0,68050.0,75400.0,2568
2010-03-17,68100.0,75800.0,67500.0,74700.0,3457
2010-03-18,67350.0,71450.0,66550.0,69000.0,3208
2010-03-19,68700.0,69600.0,67450.0,68200.0,1053
2010-03-22,66000.0,70400.0,64700.0,67150.0,2892
2010-03-23,64400.0,67500.0,63900.0,66500.0,1540
2010-03-25,64450.0,65500.0,64200.0,64950.0,424
2010-03-26,62850.0,65100.0,62650.0,65000.0,422
2010-03-29,61500.0,65550.0,61200.0,63000.0,1853
2010-03-30,64000.0,64500.0,62000.0,62000.0,957
2010-03-31,63600.0,64900.0,63100.0,64900.0,358
2010-04-01,66650.0,67300.0,63750.0,64000.0,988
2010-04-05,67750.0,68500.0,66650.0,67200.0,551
2010-04-06,68350.0,69450.0,67800.0,68300.0,513
2010-04-07,67900.0,69800.0,67200.0,69500.0,391
2010-04-08,66650.0,68250.0,66350.0,68200.0,246
2010-04-09,67250.0,68000.0,66000.0,66000.0,203
2010-04-12,67450.0,68500.0,67250.0,67550.0,262
2010-04-13,66900.0,67950.0,66550.0,67400.0,181
2010-04-15,66900.0,68500.0,66500.0,67000.0,336
2010-04-16,66700.0,67900.0,66350.0,67300.0,324
2010-04-19,66900.0,67750.0,65500.0,66550.0,490
2010-04-20,67850.0,68400.0,67200.0,67250.0,326
2010-04-21,70750.0,71500.0,68200.0,68300.0,978
2010-04-22,70950.0,72150.0,70600.0,70700.0,545
2010-04-23,70350.0,71750.0,70100.0,71450.0,302
2010-04-26,69300.0,71050.0,69050.0,70600.0,236
2010-04-27,68450.0,69600.0,68300.0,69050.0,186
2010-04-28,66950.0,67800.0,66800.0,67050.0,274
2010-04-29,67450.0,67800.0,67000.0,67200.0,125
2010-04-30,67700.0,68500.0,67450.0,67950.0,164
2010-05-03,67400.0,68350.0,66500.0,66500.0,161
2010-05-04,67800.0,71500.0,67400.0,67900.0,565
2010-05-05,66700.0,67150.0,65500.0,66400.0,243
2010-05-06,65950.0,67350.0,65700.0,67000.0,193
2010-05-07,63400.0,65500.0,63200.0,65100.0,222
2010-05-10,64750.0,65200.0,64000.0,64050.0,163
2010-05-11,63550.0,65550.0,63250.0,65000.0,127
2010-05-12,63000.0,63950.0,62250.0,63850.0,114
2010-05-13,62800.0,63850.0,62600.0,63350.0,136
2010-05-14,62600.0,63150.0,62200.0,63050.0,159
2010-05-17,60250.0,61950.0,58000.0,61950.0,408
2010-05-18,60200.0,62250.0,59750.0,60300.0,230
2010-05-19,57650.0,59750.0,57250.0,59000.0,149
2010-05-20,56350.0,58450.0,55900.0,57700.0,151
2010-05-21,53650.0,55250.0,51300.0,55000.0,215
2010-05-24,54050.0,56400.0,53650.0,54900.0,133
2010-05-25,51750.0,53850.0,51500.0,52850.0,121
2010-05-26,52900.0,53000.0,52100.0,52100.0,103
2010-05-27,54450.0,55700.0,52300.0,53050.0,178
2010-05-28,54750.0,56300.0,54100.0,55000.0,121
2010-05-31,54800.0,55500.0,54250.0,55250.0,100
2010-06-01,56550.0,59800.0,54150.0,54800.0,803
2010-06-02,57850.0,59200.0,56850.0,56850.0,235
2010-06-03,57950.0,59000.0,57800.0,58500.0,117
2010-06-04,56850.0,58050.0,56100.0,56100.0,71
2010-06-07,55050.0,55600.0,54300.0,55000.0,87
2010-06-08,54450.0,55950.0,54250.0,55050.0,87
2010-06-09,54350.0,55400.0,54150.0,54550.0,84
2010-06-10,60550.0,61850.0,54550.0,54700.0,1104
2010-06-11,61300.0,65900.0,59500.0,61800.0,1918
2010-06-14,62700.0,65900.0,60800.0,62500.0,1013
2010-06-15,61700.0,64500.0,60600.0,63250.0,496
2010-06-16,66500.0,72700.0,62100.0,62200.0,5054
2010-06-17,69050.0,72900.0,66550.0,67750.0,3409
2010-06-18,66150.0,71300.0,64000.0,68950.0,646
