Price,Close,High,Low,Open,Volume
Ticker,SIYSIL.NS,SIYSIL.NS,SIYSIL.NS,SIYSIL.NS,SIYSIL.NS
Date,,,,,
2010-01-04,23.590177536010742,24.025531106215563,23.073658998849123,23.53114680583788,57320
2010-01-05,23.914844512939453,24.475635681564306,23.759889391783407,24.475635681564306,133675
2010-01-06,23.31715965270996,24.158349270605175,23.31715965270996,23.90746832933511,46365
2010-01-07,23.4794921875,23.907466687550023,23.176959556874152,23.612311665804704,47425
2010-01-08,24.224761962890625,24.940508382462433,23.405707888270957,23.405707888270957,158365
2010-01-11,24.062421798706055,25.383236157593753,23.914844287886122,25.23565864677382,56800
2010-01-12,23.68610382080078,24.5568082153665,23.48687597031499,24.143594478831904,25335
2010-01-13,23.951740264892578,24.121453433471313,23.538525165230215,23.69348170723084,58050
2010-01-14,24.15096664428711,25.309445434129767,24.06242126567935,25.309445434129767,40560
2010-01-15,24.564184188842773,25.58984354873115,24.40184864187674,24.49777444824821,143530
2010-01-18,24.71176528930664,25.383240401743315,24.645355539074117,25.368482366713046,32330
2010-01-19,24.586322784423828,25.302071984061325,24.49777739126276,25.302071984061325,46880
2010-01-20,24.26165008544922,25.088080173610486,24.128830612286738,25.088080173610486,41940
2010-01-21,23.6934814453125,24.78555061462117,23.317160027360817,24.055043422042065,38250
2010-01-22,23.110557556152344,23.427848325589043,22.431703312154077,23.169588298786802,20850
2010-01-25,23.162199020385742,23.590172066766822,22.830151767922985,22.830151767922985,16620
2010-01-27,22.1439208984375,23.44997720726737,22.136541882255003,22.874426611663505,23650
2010-01-28,22.321016311645508,22.874429939206966,21.69381391892846,22.28412263276953,9900
2010-01-29,22.557144165039062,23.147453007917115,21.50934741151956,22.726857376812376,37055
2010-02-01,23.272886276245117,23.74513207776067,22.874427825663744,23.169581451610963,28665
2010-02-02,22.985107421875,24.25426856046732,22.881804017397524,24.246890952207497,10375
2010-02-03,23.169584274291992,23.604936453378105,23.022008147041376,23.11055354191101,7210
2010-02-04,22.616168975830078,23.309781086114242,22.431697774710088,22.918701633074576,34045
2010-02-05,21.61264419555664,22.43169528042069,19.92288750563609,22.43169528042069,6760
2010-02-08,22.033241271972656,22.033241271972656,21.501963298509814,21.590510096554823,8240
2010-02-09,21.73808479309082,22.741608537328123,21.69381210066962,22.741608537328123,2560
2010-02-10,21.92993927001953,23.90747248408557,20.95593140283455,23.90747248408557,5695
2010-02-11,23.449981689453125,23.61231585428601,22.68995976622796,22.68995976622796,78490
2010-02-15,23.324541091918945,24.335442571375633,23.058902089478966,24.335442571375633,9325
2010-02-16,23.486873626708984,23.75251120331833,22.298878623099547,22.298878623099547,21200
2010-02-17,23.31715965270996,23.759890808327935,23.31715965270996,23.759890808327935,26785
2010-02-18,22.68995475769043,23.597552610221232,22.616166005453035,22.616166005453035,20950
2010-02-19,22.675201416015625,23.02200820104563,22.43907848593781,22.859672631064374,25505
2010-02-22,22.71947479248047,23.597556734627045,22.48335046257007,23.287645046986007,9470
2010-02-23,21.900423049926758,22.66782257878209,21.715951833411072,22.143924999431317,4770
2010-02-24,22.033241271972656,22.579275872273325,21.952073491048363,22.579275872273325,20925
2010-02-25,21.575748443603516,22.72684818070319,21.54623378747448,22.638302804912723,6970
2010-02-26,21.701190948486328,22.40218204215241,21.54623582251582,22.062754316487688,15375
2010-03-02,21.893041610717773,22.42431814885141,21.59788797842131,21.59788797842131,810
2010-03-03,22.099645614624023,22.57927035095909,22.07012955335872,22.57927035095909,115345
2010-03-04,22.638301849365234,23.31715580051946,22.136540049720377,23.302397769376185,45950
2010-03-05,22.601411819458008,22.985112270461524,22.46121471449427,22.726852297385943,8970
2010-03-08,22.2103328704834,22.8744289122619,22.151302142489833,22.33577334339517,55340
2010-03-09,22.23246955871582,22.85967195275139,21.841391495155246,21.841391495155246,22075
2010-03-10,22.158679962158203,22.505485294456705,22.136542912580367,22.136542912580367,7470
2010-03-11,21.73808479309082,22.54237931032745,21.69381210066962,21.988965729150145,8975
2010-03-12,21.87090492248535,21.90042098990526,21.87090492248535,21.87828393934033,2375
2010-03-15,22.099645614624023,22.284116775322378,21.524095086579987,21.69380821664569,3450
2010-03-16,21.701190948486328,22.42431768448905,21.442930997798637,21.442930997798637,2855
2010-03-17,21.87090492248535,23.43522131065154,21.664298080160226,22.121785865940343,8150
2010-03-18,22.158679962158203,22.247225345662567,21.841389288559995,22.151300945632258,8610
2010-03-19,22.40218162536621,22.43169628373379,22.062753906016447,22.28412017708894,8945
2010-03-22,22.2767391204834,22.43169422937981,21.428172010928225,21.428172010928225,2790
2010-03-23,22.15129852294922,23.390945015658392,22.062751741725705,23.390945015658392,19010
2010-03-25,22.468595504760742,22.87443163204521,22.284124281921667,22.87443163204521,14545
2010-03-26,23.1990966796875,23.988631720941974,22.80063824350306,22.948215754846213,98095
2010-03-29,23.782028198242188,23.996015478681,23.32454038284086,23.590177969801626,33665
2010-03-30,23.863197326660156,24.173107627683326,23.612316352819153,23.907471433152377,11510
2010-03-31,23.98125457763672,24.350196955754207,23.61231219951923,23.61231219951923,18320
2010-04-01,23.61231231689453,23.966496663871112,23.464734801952545,23.900086922887567,12860
2010-04-05,24.305925369262695,24.4977770020051,23.81892149240412,24.047666803810138,21680
2010-04-06,24.02552604675293,24.48301375740074,23.612309615157283,23.612309615157283,20370
2010-04-07,24.091938018798828,24.866716437078484,23.63444745083362,23.63444745083362,31265
2010-04-08,24.416606903076172,24.608455702806058,23.833677265162798,23.833677265162798,16375
2010-04-09,24.564184188842773,24.940504175673983,24.128832070457747,24.45350034958285,38935
2010-04-12,25.250415802001953,25.64149379950077,24.202618044912747,24.202618044912747,51620
2010-04-13,25.147111892700195,26.017813247886664,24.962640717952592,25.64149328991653,57935
2010-04-15,26.05472183227539,27.596901681814582,25.825976456048068,25.825976456048068,106250
2010-04-16,27.655927658081055,27.74447306415856,26.276083586241768,26.408903102761883,131800
2010-04-19,27.065616607666016,28.246231245428206,26.785219575644746,28.246231245428206,56220
2010-04-20,26.98444175720215,27.449309880565483,26.9327900562514,27.37551972577399,33940
