Price,Close,High,Low,Open,Volume
Ticker,SREEL.NS,SREEL.NS,SREEL.NS,SREEL.NS,SREEL.NS
Date,,,,,
2014-01-01,297.7134704589844,300.7105859334037,294.7163549845651,296.7144319675113,19014
2014-01-02,299.61163330078125,313.6980819309985,295.0160502066929,313.6980819309985,20015
2014-01-03,299.7115478515625,299.7115478515625,299.7115478515625,299.7115478515625,5
2014-01-06,299.7115478515625,299.7115478515625,289.7211629231771,289.7211629231771,45
2014-01-07,291.0198974609375,312.1995254636881,290.2206788710444,290.2206788710444,7513
2014-01-08,292.4185791015625,293.2177977006825,289.7211629751207,290.7202014681384,6002
2014-01-09,301.7096252441406,301.7096252441406,300.2110675028618,300.2110675028618,3500
2014-01-10,299.761474609375,300.7105733317955,298.7124964325809,298.7124964325809,633
2014-01-13,299.7115478515625,299.7115478515625,297.2139516194661,297.2139516194661,4500
2014-01-14,298.4627380371094,313.6980744557401,296.71442074316815,313.6980744557401,4054
2014-01-15,299.2120056152344,299.7115248232732,298.7124864071956,299.7115248232732,4500
2014-01-16,299.7115478515625,299.7115478515625,298.71250935872393,298.71250935872393,750
2014-01-17,296.71441650390625,301.2100894812382,294.7163396250921,300.71057026153466,6000
2014-01-20,301.2100830078125,301.2100830078125,300.2110445898761,300.2110445898761,300
2014-01-21,301.2100830078125,301.2100830078125,301.2100830078125,301.2100830078125,0
2014-01-22,297.0141296386719,298.71250725985806,295.7153918024013,295.7153918024013,350
2014-01-23,294.7163391113281,299.7115312996557,294.7163391113281,297.71345442432465,501
2014-01-24,300.7105712890625,300.7105712890625,298.7124944034209,299.7115328462417,6500
2014-01-27,297.7134704589844,304.65680017001654,296.7144319675113,296.7144319675113,6001
2014-01-28,298.7124938964844,298.7124938964844,297.713455455359,297.713455455359,1000
2014-01-29,304.65679931640625,304.65679931640625,297.2139503804915,297.2139503804915,1001
2014-01-30,297.7134704589844,297.7134704589844,295.7153934760382,295.7153934760382,2500
2014-01-31,297.7134704589844,297.7134704589844,295.7153934760382,295.7153934760382,2000
2014-02-03,297.7134704589844,297.7134704589844,296.7144319675113,296.7144319675113,3000
2014-02-04,297.7134704589844,297.7134704589844,297.7134704589844,297.7134704589844,0
2014-02-05,297.21392822265625,297.71344742975316,296.71440901555934,296.71440901555934,2000
2014-02-06,294.7163391113281,297.71345442432465,294.7163391113281,297.71345442432465,4020
2014-02-07,297.7134704589844,297.7134704589844,297.7134704589844,297.7134704589844,2000
2014-02-10,297.7134704589844,304.60682995250176,294.7662947138447,294.7662947138447,7082
2014-02-11,301.2100830078125,304.70671747058975,297.76338827063887,297.76338827063887,2
2014-02-12,297.7134704589844,297.7134704589844,296.7144319675113,296.7144319675113,2000
2014-02-13,304.70672607421875,304.70672607421875,296.7144185050589,296.7144185050589,2511
2014-02-14,304.6068115234375,304.6068115234375,296.7144140159462,296.7144140159462,5001
2014-02-17,296.71441650390625,296.71441650390625,296.71441650390625,296.71441650390625,7500
2014-02-18,297.7134704589844,297.7134704589844,297.7134704589844,297.7134704589844,3000
2014-02-19,297.7134704589844,297.7134704589844,296.7144319675113,297.7134704589844,4500
2014-02-20,296.51458740234375,298.21296489182816,296.11497813665113,296.2148880751325,7000
2014-02-21,296.96417236328125,297.71345118337365,295.715374329794,295.715374329794,10000
2014-02-24,296.71441650390625,296.71441650390625,295.7153780644992,295.7153780644992,5500
2014-02-25,293.7173156738281,293.7173156738281,291.71923869645514,291.71923869645514,10000
2014-02-26,284.7259521484375,292.71825957716555,283.7269137198465,292.71825957716555,16000
2014-02-28,293.7173156738281,304.60682910286386,274.73558438878484,304.60682910286386,16721
2014-03-03,272.18804931640625,272.83741823850124,271.73846979975224,272.83741823850124,6012
2014-03-04,270.3398132324219,283.97668210665114,264.74519176169764,270.78936224624647,19078
2014-03-05,266.2437438964844,266.74326311580234,264.74518623853044,265.2447054578484,16047
2014-03-06,265.19476318359375,266.7432605533103,264.74518369523304,266.7432605533103,6514
2014-03-07,277.6327819824219,279.7307688464168,263.7461534837645,279.7307688464168,5102
2014-03-10,262.7471008300781,264.7451776424742,261.7480624238801,264.7451776424742,8400
2014-03-11,278.7317199707031,279.7307583935372,261.74806678252406,263.7461436281922,6553
2014-03-12,261.7480773925781,324.63756085452377,260.74903892924766,324.63756085452377,4102
2014-03-13,259.75,266.7432692307692,259.75,261.74807692307695,5664
2014-03-14,259.25048828125,266.7432769598988,254.75481507406067,254.75481507406067,2525
2014-03-18,264.74517822265625,264.74517822265625,254.75479413878244,258.750947772332,7011
2014-03-19,257.3023376464844,279.68082306000207,254.7548018235424,264.74518620877933,13478
2014-03-20,256.4032287597656,256.7528983376392,254.75482130777428,254.80477628234448,7526
2014-03-21,256.3033142089844,256.7528937279267,254.754816733935,254.754816733935,8324
2014-03-24,256.0535583496094,273.7365522017309,254.75482047971303,273.7365522017309,14250
2014-03-25,255.60398864746094,269.69043662102075,254.7547998835358,255.75383831445163,17642
2014-03-26,256.25335693359375,256.25335693359375,243.76537657620614,243.76537657620614,11520
2014-03-27,257.0525817871094,260.74903625886975,256.8028221738346,256.8028221738346,5001
2014-03-28,269.7403869628906,271.7384639033565,254.7548099093967,255.35423908918338,8008
2014-03-31,274.7355651855469,278.731718860973,255.95365510633724,274.7355651855469,3862
2014-04-01,256.75286865234375,328.583723473388,234.77402386498358,328.583723473388,2593
2014-04-02,255.75384521484375,257.2524029016495,255.75384521484375,257.2524029016495,6800
2014-04-03,252.75672912597656,256.7528829461501,244.76442148562947,253.75576758101994,2070
2014-04-04,258.7509460449219,259.7499844466397,252.7567156346148,259.7499844466397,21
2014-04-07,259.75,259.75,259.75,259.75,33
2014-04-09,265.7442321777344,266.743270644568,250.75865517523056,266.743270644568,5050
2014-04-10,272.587646484375,274.7355730487457,260.5492148996624,262.69717195226696,2600
2014-04-11,272.587646484375,272.587646484375,272.587646484375,272.587646484375,0
2014-04-15,234.27452087402344,243.76538632520987,228.77980929702076,243.76538632520987,39
2014-04-16,238.42051696777344,241.76730183042815,236.77210964384903,236.77210964384903,30
2014-04-17,271.6885070800781,274.3858924870426,261.69812300635925,261.69812300635925,35
2014-04-21,271.6385498046875,271.6385498046875,271.6385498046875,271.6385498046875,4
2014-04-22,267.64239501953125,267.64239501953125,267.64239501953125,267.64239501953125,4
2014-04-23,267.64239501953125,267.64239501953125,267.64239501953125,267.64239501953125,0
2014-04-24,267.64239501953125,267.64239501953125,267.64239501953125,267.64239501953125,0
2014-04-25,262.29754638671875,266.6433699661094,240.81823384750658,266.6433699661094,1181
2014-04-28,257.7519226074219,257.7519226074219,255.7538456879845,255.7538456879845,300
2014-04-29,265.7442321777344,265.7442321777344,252.75673210889772,252.75673210889772,40
2014-04-30,271.23895263671875,271.7384718865101,270.7394333869274,270.7394333869274,200
2014-05-02,271.23895263671875,271.23895263671875,271.23895263671875,271.23895263671875,0
2014-05-05,253.00648498535156,270.7394172992311,249.75961005464123,249.75961005464123,24
2014-05-06,272.68756103515625,272.73750076307914,271.6885225708226,271.6885225708226,400
2014-05-07,271.73846435546875,271.73846435546875,271.73846435546875,271.73846435546875,1
2014-05-08,271.73846435546875,271.73846435546875,271.73846435546875,271.73846435546875,0
2014-05-09,271.73846435546875,271.73846435546875,271.73846435546875,271.73846435546875,0
2014-05-12,259.25048828125,269.7403924313584,249.75962262162813,269.7403924313584,10050
2014-05-13,259.25048828125,259.25048828125,259.25048828125,259.25048828125,0
2014-05-14,257.7519226074219,269.6904443963539,235.97288113673102,235.97288113673102,6082
2014-05-15,249.70965576171875,268.6414312064332,239.86913624532093,247.76153384682715,9252
2014-05-16,249.70965576171875,249.70965576171875,249.70965576171875,249.70965576171875,0
2014-05-19,269.6904296875,269.6904296875,239.86912719369727,239.86912719369727,11
2014-05-20,266.6933288574219,266.6933288574219,240.7682686479599,247.76153786180106,5014
2014-05-21,259.75,263.446454502986,245.2639423076923,245.2639423076923,10007
2014-05-22,261.7480773925781,261.7480773925781,250.25913506427796,258.7509620025868,6500
2014-05-23,264.69525146484375,268.69140529416325,234.9738421151629,261.74807582042695,220
2014-05-26,264.69525146484375,264.69525146484375,264.69525146484375,264.69525146484375,0
2014-05-27,267.6923522949219,271.7384456320174,267.6923522949219,271.7384456320174,10
2014-05-28,267.14288330078125,267.14288330078125,267.0929435721039,267.14288330078125,17
2014-05-29,266.7432556152344,266.7432556152344,250.2591218412592,250.2591218412592,4501
2014-05-30,253.75576782226562,266.69332802267087,253.75576782226562,266.69332802267087,4
2014-06-02,253.75576782226562,253.75576782226562,253.75576782226562,253.75576782226562,0
2014-06-03,253.75576782226562,253.75576782226562,253.75576782226562,253.75576782226562,0
2014-06-04,263.24664306640625,271.6385603150886,254.85472581772385,271.6385603150886,4000
2014-06-05,249.75961303710938,268.74134362792967,249.75961303710938,268.74134362792967,21
2014-06-06,256.00360107421875,256.00360107421875,256.00360107421875,256.00360107421875,5900
2014-06-09,259.84991455078125,263.7461585222124,249.26010057307573,249.75961981270115,4552
2014-06-10,255.50408935546875,255.50408935546875,250.0093777564264,250.0093777564264,4700
2014-06-11,255.50408935546875,255.50408935546875,255.50408935546875,255.50408935546875,0
2014-06-12,255.75384521484375,269.64047368159663,255.75384521484375,269.64047368159663,500
2014-06-13,254.7548065185547,254.7548065185547,254.7548065185547,254.7548065185547,30
2014-06-16,254.7548065185547,254.7548065185547,254.7548065185547,254.7548065185547,0
2014-06-17,262.2475891113281,262.2475891113281,257.7519161551339,257.7519161551339,7801
2014-06-18,248.41090393066406,263.74615020098156,239.76922745543777,263.74615020098156,4920
2014-06-19,254.7548065185547,264.1957321318889,254.7548065185547,254.7548065185547,1545
2014-06-20,254.7548065185547,254.7548065185547,254.7548065185547,254.7548065185547,43
2014-06-23,254.7548065185547,264.64528114456937,254.7548065185547,264.64528114456937,84
2014-06-24,254.7548065185547,254.7548065185547,254.7548065185547,254.7548065185547,0
2014-06-25,254.7548065185547,254.7548065185547,254.7548065185547,254.7548065185547,0
2014-06-26,254.7548065185547,264.74519108790975,254.7548065185547,264.74519108790975,1932
2014-06-27,264.6452941894531,264.6452941894531,264.6452941894531,264.6452941894531,1
2014-06-30,264.6452941894531,264.6452941894531,254.7548190759176,254.7548190759176,7
2014-07-01,257.45220947265625,264.64526770434617,256.75287039302424,264.64526770434617,1501
