Price,Close,High,Low,Open,Volume
Ticker,SUMMITSEC.NS,SUMMITSEC.NS,SUMMITSEC.NS,SUMMITSEC.NS,SUMMITSEC.NS
Date,,,,,
2010-01-04,40.5,41.79999923706055,40.20000076293945,40.599998474121094,23649
2010-01-05,40.20000076293945,41.20000076293945,40.04999923706055,40.5,31679
2010-01-06,40.79999923706055,42.0,40.20000076293945,42.0,15752
2010-01-07,44.900001525878906,44.900001525878906,40.20000076293945,40.599998474121094,141604
2010-01-08,46.0,48.900001525878906,45.25,48.5,78711
2010-01-11,46.79999923706055,48.79999923706055,46.0,48.0,26806
2010-01-12,43.70000076293945,47.95000076293945,43.599998474121094,47.95000076293945,13327
2010-01-13,46.0,47.0,43.20000076293945,43.20000076293945,24952
2010-01-14,47.0,47.849998474121094,45.150001525878906,45.5,42510
2010-01-15,46.54999923706055,48.900001525878906,46.150001525878906,47.0,41317
2010-01-18,45.349998474121094,48.0,44.79999923706055,46.70000076293945,78354
2010-01-19,46.5,49.400001525878906,45.5,45.5,86524
2010-01-20,46.5,46.5,46.5,46.5,0
2010-01-21,46.5,46.5,46.5,46.5,0
2010-01-22,46.5,46.5,46.5,46.5,0
2010-01-25,46.5,46.5,46.5,46.5,0
2010-01-27,46.5,46.5,46.5,46.5,0
2010-01-28,46.5,46.5,46.5,46.5,0
2010-01-29,46.5,46.5,46.5,46.5,0
2010-02-01,46.5,46.5,46.5,46.5,0
2010-02-02,46.5,46.5,46.5,46.5,0
2010-02-03,46.5,46.5,46.5,46.5,0
2010-02-04,46.5,46.5,46.5,46.5,0
2010-02-05,46.5,46.5,46.5,46.5,0
2010-02-08,46.5,46.5,46.5,46.5,0
2010-02-09,46.5,46.5,46.5,46.5,0
2010-02-10,46.5,46.5,46.5,46.5,0
2010-02-11,46.5,46.5,46.5,46.5,0
2010-02-15,46.5,46.5,46.5,46.5,0
2010-02-16,46.5,46.5,46.5,46.5,0
2010-02-17,46.5,46.5,46.5,46.5,0
2010-02-18,46.5,46.5,46.5,46.5,0
2010-02-19,46.5,46.5,46.5,46.5,0
2010-02-22,46.5,46.5,46.5,46.5,0
2010-02-23,46.5,46.5,46.5,46.5,0
2010-02-24,46.5,46.5,46.5,46.5,0
2010-02-25,46.5,46.5,46.5,46.5,0
2010-02-26,46.5,46.5,46.5,46.5,0
2010-03-02,46.5,46.5,46.5,46.5,0
2010-03-03,46.5,46.5,46.5,46.5,0
2010-03-04,46.5,46.5,46.5,46.5,0
2010-03-05,46.5,46.5,46.5,46.5,0
2010-03-08,46.5,46.5,46.5,46.5,0
2010-03-09,46.5,46.5,46.5,46.5,0
