Price,Close,High,Low,Open,Volume
Ticker,VINDHYATEL.NS,VINDHYATEL.NS,VINDHYATEL.NS,VINDHYATEL.NS,VINDHYATEL.NS
Date,,,,,
2010-01-04,184.96646118164062,193.4722154088604,184.96646118164062,185.41650123317746,251
2010-01-05,187.5316925048828,187.57668552213934,178.12584456405,178.21585806682756,175
2010-01-06,180.91610717773438,182.7162674481596,180.01602704252178,180.01602704252178,4200
2010-01-07,176.41571044921875,180.01603107063139,175.5156302938656,180.01603107063139,2566
2010-01-08,179.97103881835938,186.31660717176072,171.28527011294312,173.71548398140007,4273
2010-01-11,184.56143188476562,184.56143188476562,180.0160245188384,180.0160245188384,200
2010-01-12,188.47679138183594,190.81700543268286,180.91612307532668,180.91612307532668,6407
2010-01-13,181.81617736816406,188.92680455376117,173.80547009658594,173.85046311357925,7876
2010-01-14,181.27613830566406,195.3173942624224,179.34097145985098,180.0160315782695,2223
2010-01-15,186.1365509033203,186.1365509033203,178.21584397962198,178.21584397962198,40
2010-01-18,179.70098876953125,183.75134927133104,177.31578196767995,180.01602230221314,927
2010-01-19,180.01602172851562,185.32648887585384,166.87484664868097,166.87484664868097,910
2010-01-20,180.01602172851562,180.01602172851562,180.01602172851562,180.01602172851562,100
2010-01-21,181.7711639404297,181.7711639404297,168.81001667202995,175.51561031945988,618
2010-01-22,170.56517028808594,179.6109775805337,169.2150502066499,169.2150502066499,310
2010-01-25,168.76499938964844,176.41567936197916,164.71463940429686,164.71463940429686,20001
2010-01-27,167.5948944091797,175.5156012106399,157.5140010864717,157.5140010864717,9144
2010-01-28,180.64608764648438,181.63618132864121,162.91451101738568,167.41491187421954,1763
2010-01-29,173.22044372558594,180.0160524524946,166.69486182418302,171.91533009213234,6133
2010-02-01,175.51559448242188,175.51559448242188,175.51559448242188,175.51559448242188,50
2010-02-02,174.61553955078125,176.8657398027243,174.39051952558694,174.39051952558694,99
2010-02-03,167.72991943359375,172.815366120036,167.41488592878488,167.41488592878488,3220
2010-02-04,178.9359130859375,180.91608640926236,160.2142456758642,180.91608640926236,4690
2010-02-05,163.85958862304688,165.61474211054406,163.36454181012905,163.49954833450087,224
2010-02-08,160.21424865722656,170.1151291922237,160.21424865722656,170.1151291922237,2
2010-02-09,170.97018432617188,171.8252575346991,158.41407172860033,171.78026452435304,225
2010-02-10,164.48965454101562,164.48965454101562,164.48965454101562,164.48965454101562,25
2010-02-11,165.6147003173828,180.87105175740282,158.8641011196634,180.87105175740282,5041
2010-02-15,167.4149169921875,167.4599237489584,167.4149169921875,167.4149169921875,701
2010-02-16,175.51559448242188,177.31575442583133,163.8145548502604,163.8145548502604,12
2010-02-17,170.1151580810547,172.72538517171358,170.1151580810547,172.72538517171358,25
2010-02-18,173.58047485351562,177.3158022498979,167.8649599979998,170.115160534166,2161
2010-02-19,172.81539916992188,178.08087385703402,163.00453043986636,163.00453043986636,156
2010-02-22,167.50491333007812,167.50491333007812,165.65974636474184,165.65974636474184,11
2010-02-23,173.26544189453125,182.67127742197897,154.63378413633575,166.51484026227678,4409
2010-02-24,175.3356170654297,184.42641839691018,156.61394708129842,156.61394708129842,4330
2010-02-25,175.51559448242188,192.43710069729684,160.2142349634415,160.2142349634415,205
2010-02-26,168.40499877929688,178.21586675872504,166.51482500183903,166.51482500183903,67
2010-03-02,169.6651153564453,174.4805498535841,166.51483469995958,166.51483469995958,4362
2010-03-03,171.6902618408203,180.91608193973727,166.96484179015553,166.96484179015553,7124
2010-03-04,171.0152130126953,171.0152130126953,171.0152130126953,171.0152130126953,210
2010-03-05,171.8702850341797,172.8153718457877,167.41489147560685,167.41489147560685,295
2010-03-08,171.1502227783203,193.472211647392,159.44918166585305,193.2471916259984,237
2010-03-09,167.81993103027344,167.81993103027344,167.81993103027344,167.81993103027344,6
2010-03-10,173.7154541015625,184.0213681913314,167.05486705453362,171.01521388236722,488
2010-03-11,177.2257537841797,178.12583382114175,171.01520702279396,171.01520702279396,99
2010-03-12,171.96029663085938,171.96029663085938,171.96029663085938,171.96029663085938,110
2010-03-15,170.8802032470703,178.80089671185914,165.61472945287778,165.61472945287778,35
2010-03-16,182.53623962402344,189.06182008437688,163.0045049929643,163.0045049929643,22567
2010-03-17,181.59117126464844,187.21667223319392,171.91530959875018,171.91530959875018,13668
2010-03-18,178.03585815429688,184.3364192657847,173.71547064530714,173.760477400073,20120
2010-03-19,176.32568359375,176.32568359375,176.32568359375,176.32568359375,25
2010-03-22,175.51559448242188,180.0159943409455,171.01519462389822,180.0159943409455,29
2010-03-23,172.27532958984375,180.91610424128976,172.00531654096886,175.51562351766918,145
2010-03-25,175.51559448242188,182.7162342560597,175.51559448242188,180.91607431265024,1525
2010-03-26,173.0854034423828,177.3157771036121,173.04039669121536,173.04039669121536,3622
2010-03-29,176.6857147216797,197.0275153993449,172.81536780016228,197.0275153993449,207
2010-03-30,169.48509216308594,173.7154660506535,169.2150653757661,173.7154660506535,431
2010-03-31,172.86038208007812,180.01601596797886,172.86038208007812,180.01601596797886,1700
2010-04-01,181.27613830566406,194.41731410453104,174.66055738564262,194.41731410453104,468
2010-04-05,181.27613830566406,181.27613830566406,181.27613830566406,181.27613830566406,0
2010-04-06,176.6857147216797,184.51640832829824,174.03048134865975,180.01600812516904,7580
2010-04-07,181.7711639404297,182.71625074282235,176.68571713508263,179.11593053114112,290
2010-04-08,182.7162628173828,182.7162628173828,176.86574208677698,181.7261692000888,5749
2010-04-09,180.15103149414062,186.22657233684663,177.9908446881649,178.21586471937624,19438
2010-04-12,180.01602172851562,182.71626205444338,179.74599494909634,179.74599494909634,8800
2010-04-13,183.9763641357422,185.41649776739422,180.9160973361468,181.8161774223963,3655
2010-04-15,180.91610717773438,183.6163475833722,179.56598697491546,179.56598697491546,13370
2010-04-16,184.5164031982422,184.5164031982422,180.1960163765303,180.24102312413658,1000
2010-04-19,180.01602172851562,180.01602172851562,174.16550102233887,174.16550102233887,260
2010-04-20,180.01602172851562,180.01602172851562,180.01602172851562,180.01602172851562,0
2010-04-21,179.11595153808594,216.01923803588255,178.2608781343539,216.01923803588255,1932
2010-04-22,177.3157958984375,183.61635717401649,177.0457690969431,180.9161166273398,10755
2010-04-23,178.30589294433594,185.4165210239302,154.3637541534176,154.3637541534176,202
2010-04-26,180.5560760498047,188.8818170899064,179.3859691568017,183.61634293845933,1184
2010-04-27,184.42642211914062,184.5164356301746,184.42642211914062,184.5164356301746,220
2010-04-28,184.42642211914062,184.42642211914062,184.42642211914062,184.42642211914062,0
2010-04-29,181.81617736816406,183.61633754012607,180.91609728218305,180.91609728218305,9150
2010-04-30,174.93055725097656,179.70097036613532,148.6482096991547,179.70097036613532,9331
2010-05-03,171.915283203125,174.16548324505072,171.915283203125,174.16548324505072,208
2010-05-04,175.78565979003906,185.41651485356758,171.91531231568646,172.00532582625902,12172
2010-05-05,175.4255828857422,175.51559637753675,175.4255828857422,175.4255828857422,200
2010-05-06,173.67047119140625,187.26168765405342,172.0053310681357,175.51563834130832,3864
2010-05-07,168.76499938964844,168.76499938964844,162.9144794108073,162.9144794108073,120
2010-05-10,175.3356170654297,175.3356170654297,171.01522957153276,171.01522957153276,5010
2010-05-11,180.46604919433594,181.6361560007764,180.0160091714074,180.0160091714074,2787
2010-05-12,188.7467803955078,198.01760749314974,180.0160068119543,180.0160068119543,3886
2010-05-13,190.23193359375,193.4272069440611,180.01601902067384,180.19603229286804,10271
2010-05-14,181.81617736816406,190.99699149834393,181.63616409779428,185.68652448470883,327
2010-05-17,181.81617736816406,181.81617736816406,181.81617736816406,181.81617736816406,0
2010-05-18,181.81617736816406,181.81617736816406,181.81617736816406,181.81617736816406,0
2010-05-19,180.01602172851562,180.01602172851562,180.01602172851562,180.01602172851562,100
2010-05-20,180.91610717773438,180.91610717773438,175.96566643406504,175.96566643406504,310
2010-05-21,182.80625915527344,185.41648574246142,179.74597882001618,180.01600557520524,322
2010-05-24,180.91610717773438,188.11674825943527,180.91610717773438,180.91610717773438,1309
2010-05-25,180.01602172851562,186.76662254333496,180.01602172851562,184.51642227172852,77
2010-05-26,189.24185180664062,190.8169920713808,184.5164310124201,184.5164310124201,3216
2010-05-27,201.25790405273438,203.41809067241715,186.76660979879009,189.9168899640709,3167
2010-05-28,219.21449279785156,220.96964609947327,204.31816563983884,215.11912593798007,1620
2010-05-31,229.430419921875,229.88045998742135,211.87885736556743,211.87885736556743,1892
2010-06-01,226.50514221191406,237.62113647633473,225.0200156025897,233.12073616428293,1047
2010-06-02,234.8759002685547,234.8759002685547,225.02001272394077,226.8201728257323,1220
2010-06-03,232.17568969726562,237.93619726328947,226.82020172479025,237.93619726328947,905
2010-06-04,234.6058807373047,238.52123480223986,232.22067388293542,232.22067388293542,7102
2010-06-07,225.3350372314453,231.05055081990494,225.0200037325673,225.0200037325673,2073
2010-06-08,225.0650177001953,225.11002444921186,223.21985086356935,223.21985086356935,941
2010-06-09,231.63558959960938,244.91176937642254,195.31735671650551,195.31735671650551,4991
2010-06-10,228.62034606933594,238.52122719832295,225.60507223185513,238.52122719832295,594
2010-06-11,229.970458984375,233.12073924443493,224.56997853855796,230.5105125226095,372
2010-06-14,232.7607421875,240.32141027554917,228.21533448976868,240.32141027554917,754
2010-06-15,219.6195526123047,231.68062090965515,198.01762940453702,198.01762940453702,234
2010-06-16,216.0192108154297,216.2892375757753,216.0192108154297,216.06421756450922,369
2010-06-17,213.99403381347656,224.1199344671111,212.46390046153147,224.1199344671111,95
2010-06-18,211.51882934570312,211.69884262385162,211.51882934570312,211.69884262385162,408
2010-06-21,220.3845977783203,220.3845977783203,212.28387762082792,212.41888412980035,250
2010-06-22,219.6195526123047,219.6195526123047,214.21907181036278,214.21907181036278,1499
2010-06-23,216.0192108154297,220.51961104075116,208.81857045491537,208.81857045491537,1073
2010-06-24,222.22976684570312,222.63481387007934,222.22976684570312,222.63481387007934,15
2010-06-25,207.37844848632812,220.51962337280972,205.66830179872252,220.51962337280972,166
2010-06-28,212.46389770507812,213.31897100235406,212.41889095593064,212.41889095593064,46
2010-06-29,216.06423950195312,216.91931288475524,216.01923274830398,216.01923274830398,2337
2010-06-30,216.0192108154297,217.8193709055583,216.0192108154297,217.8193709055583,532
2010-07-01,224.5699920654297,225.02003212968907,223.03985859377437,223.03985859377437,1000
2010-07-02,220.51963806152344,220.51963806152344,212.41891666334502,220.51963806152344,824
2010-07-05,220.51963806152344,222.76983844990633,220.51963806152344,220.51963806152344,206
2010-07-06,220.51963806152344,224.9750320836949,220.51963806152344,224.9750320836949,26
2010-07-07,223.12985229492188,225.02002600703395,222.31978569494953,222.31978569494953,541
2010-07-08,222.31979370117188,222.31979370117188,212.19389216619948,216.2892595338371,819
2010-07-09,220.51963806152344,226.64018586475154,217.81939759546395,220.51963806152344,1031
2010-07-12,223.3998565673828,225.02000333824438,220.74462327481774,220.74462327481774,1403
2010-07-13,225.01998901367188,228.80032208227553,223.26483584619126,228.80032208227553,20038
2010-07-14,225.01998901367188,225.92006896972657,220.60960272265598,225.01998901367188,727
2010-07-15,231.00555419921875,233.12074794643982,225.02002697532802,225.02002697532802,1468
2010-07-16,225.1100311279297,233.12073826180614,225.020017627226,233.12073826180614,2923
2010-07-19,224.61497497558594,225.02000824359814,216.9192879468286,225.02000824359814,10089
2010-07-20,230.8705596923828,234.47088031136732,218.94449764199655,224.56999860915988,3793
2010-07-21,225.01998901367188,225.01998901367188,221.41966918945312,225.01998901367188,8251
2010-07-22,225.01998901367188,226.82014892578124,222.3197491455078,225.01998901367188,2950
2010-07-23,225.01998901367188,225.01998901367188,220.0695492553711,224.9749822690431,2981
2010-07-26,225.01998901367188,229.5203887939453,209.85363626049832,229.5203887939453,4858
2010-07-27,219.12451171875,270.0240474005874,208.81859665645425,270.0240474005874,2105
2010-07-28,223.71490478515625,259.94311397213784,194.55230219327137,259.94311397213784,828
2010-07-29,219.48452758789062,219.48452758789062,217.86438073702644,217.86438073702644,139
2010-07-30,211.65382385253906,220.51961807279184,203.01306338485986,203.01306338485986,667
2010-08-02,225.965087890625,227.72024115268314,211.51880107067407,224.79498113787594,7397
2010-08-03,225.60504150390625,238.52119471116296,220.96963510034155,237.62111473112085,1385
2010-08-04,225.01998901367188,225.01998901367188,220.96962921142577,225.01998901367188,2338
2010-08-05,228.8453826904297,262.8234090289301,220.96968122124085,262.8234090289301,1170
2010-08-06,226.28012084960938,232.22065471981549,225.5150610415929,229.52041454865486,848
2010-08-09,227.27023315429688,231.9506608243847,225.92011295734065,228.62035335125307,3835
2010-08-10,226.01010131835938,227.7202478839141,226.01010131835938,226.86517460113674,5090
2010-08-11,227.5852508544922,227.7202573711385,222.31977695917476,225.92009723381724,1190
2010-08-12,222.0497589111328,223.2198657931654,221.6447256111572,221.6447256111572,1092
2010-08-13,222.58981323242188,228.57534045097756,222.36479320564712,228.57534045097756,803
2010-08-16,223.71490478515625,229.47541175597866,222.67980446121666,229.47541175597866,3109
2010-08-17,222.94984436035156,225.0200313960215,222.40980452548075,223.21987114485333,3018
2010-08-18,225.01998901367188,225.01998901367188,225.01998901367188,225.01998901367188,20
2010-08-19,222.67982482910156,228.62035934510806,222.67982482910156,225.92011888040204,4289
2010-08-20,224.07493591308594,225.02002275548543,222.4097959851747,225.02002275548543,3612
2010-08-23,217.7743682861328,224.74998876765972,216.51426169280003,224.74998876765972,669
2010-08-24,222.31979370117188,223.21987383761385,220.51963342828788,223.21987383761385,30
2010-08-25,214.2190704345703,225.02003196908646,214.2190704345703,225.02003196908646,225
2010-08-26,211.51882934570312,222.76983090664476,211.51882934570312,222.76983090664476,2703
2010-08-27,211.92385864257812,216.0192258800472,211.51882534087954,211.7888521200561,808
2010-08-30,213.49900817871094,220.06959600039602,213.45400142452226,213.45400142452226,263
2010-08-31,220.24957275390625,221.41967949808,218.6744327574768,218.6744327574768,3285
2010-09-01,264.30853271484375,264.30853271484375,234.92092107072276,252.02244406054547,155114
2010-09-02,317.1882019042969,317.1882019042969,270.92409315205106,297.8364809648646,881792
2010-09-03,313.3179016113281,338.0250849247672,303.64204012536146,332.48959756830925,425003
2010-09-06,295.63134765625,316.8282250189312,291.6259798469708,316.15316488039656,155204
2010-09-07,325.1989440917969,325.1989440917969,294.3262062299108,294.3262062299108,93670
2010-09-08,357.73681640625,357.73681640625,328.52920864993064,333.02960876842286,219646
2010-09-09,393.5150451660156,393.5150451660156,378.03365588988544,379.60879612275994,96846
2010-09-13,388.5645446777344,412.596664053934,361.9221713424404,412.596664053934,331729
2010-09-14,397.7004089355469,417.09712465226426,374.70334524865706,386.80943392362536,221120
