Price,Close,High,Low,Open,Volume
Ticker,WELCORP.NS,WELCORP.NS,WELCORP.NS,WELCORP.NS,WELCORP.NS
Date,,,,,
2010-01-04,223.3278350830078,224.17577696130397,218.03839498829728,218.68442481936816,1070904
2010-01-05,223.20669555664062,226.92142849650685,222.23765086219095,225.3063293613004,936400
2010-01-06,223.44895935058594,226.47727001411326,222.64140984031198,223.04518459544894,768569
2010-01-07,222.11651611328125,224.05465494293878,220.82445641945483,223.77200764324215,517096
2010-01-08,226.55799865722656,228.5365047576096,221.10703962148852,223.12591333842855,1601829
2010-01-11,230.83807373046875,231.5244958658723,227.002212870551,229.3441019403457,1438540
2010-01-12,223.93348693847656,231.64560015430442,222.68179495697274,230.95917808773962,1069505
2010-01-13,227.85012817382812,228.53655030327755,220.5418137197933,222.2376729088862,1010878
2010-01-14,225.95237731933594,229.30372800983184,224.57955773073937,229.30372800983184,328013
2010-01-15,225.2659454345703,228.81915834592974,223.2066793995702,227.56744182007745,1034561
2010-01-18,225.18521118164062,226.15425591622562,223.32783231255115,225.06408367037477,400686
2010-01-19,226.31578063964844,230.0708814376947,225.7101184256262,226.11389323497437,884288
2010-01-20,225.4274444580078,228.53651505102061,221.6723441042585,227.68859790949696,837146
2010-01-21,214.60629272460938,227.68860528093822,213.19308101334664,226.11387380203433,965932
2010-01-22,214.80821228027344,218.0384109611798,201.07986788642137,213.59688777493355,1679941
2010-01-25,218.442138671875,221.18780202943276,209.27644696322145,214.16213620078102,1058442
2010-01-27,207.41909790039062,218.07873671396575,205.92512636843443,217.2308195808191,1162815
2010-01-28,211.4164581298828,213.11231708006542,203.6639899973159,208.79192214455082,4716222
2010-01-29,211.94134521484375,213.83906654744078,203.50244431312603,208.26698073918593,1251336
2010-02-01,213.19308471679688,214.00063428011808,205.96551858951784,210.0436463487356,741420
2010-02-02,210.24549865722656,218.03834571404158,208.5092723146905,214.242853541979,622944
2010-02-03,214.36404418945312,215.5753685499636,207.21722553354988,211.57798830249615,596931
2010-02-04,208.99380493164062,214.64665154495577,208.02476029888845,214.64665154495577,638740
2010-02-05,199.2224578857422,205.92512115645664,193.08508911912148,205.92512115645664,1620778
2010-02-08,195.9922637939453,202.69492719759413,191.14696672946098,202.69492719759413,1366737
2010-02-09,197.6073760986328,199.06096778013426,194.13491050455394,195.5077546228894,1060860
2010-02-10,195.58851623535156,202.0892931652531,193.0043599060759,200.67608132493666,789720
2010-02-11,193.3677520751953,198.49569703886135,192.2775674926359,196.96134538315042,1187026
2010-02-15,193.40811157226562,196.19415497389235,189.77413870347567,194.37716853949738,574762
2010-02-16,196.79981994628906,197.566989542944,191.47000038882226,194.41755127363305,513681
2010-02-17,204.06776428222656,204.9964536374101,197.84963534995916,198.6571848819998,1687253
2010-02-18,199.505126953125,204.31004450773466,197.28436559978005,204.31004450773466,713647
2010-02-19,192.68130493164062,198.6571659709827,191.146953573488,198.6571659709827,1110282
2010-02-22,189.895263671875,196.63830705628976,186.7458254898029,195.50774266329665,659128
2010-02-23,187.35150146484375,192.5198138177411,185.81716220070413,189.3703754030425,1050621
2010-02-24,189.0876922607422,192.11600259369595,184.24239572801616,185.73636708783053,857752
2010-02-25,191.95452880859375,196.07303651195926,185.73639963314713,185.73639963314713,1703918
2010-02-26,194.05416870117188,198.41493155288092,190.70283051348412,194.53869106123463,775841
2010-03-02,200.9990692138672,201.88737860863625,195.02320773594263,195.184715174384,1106045
2010-03-03,208.14588928222656,212.30476439137024,202.6545500685312,202.69493000907417,1566399
2010-03-04,212.1836395263672,213.19307644133565,208.10552424767704,208.10552424767704,1042874
2010-03-05,215.0504150390625,216.26173924989715,210.97230005370085,211.5779621591182,793238
2010-03-08,213.71798706054688,217.63460737258117,212.78930999137344,216.82705780904655,665133
2010-03-09,214.40438842773438,218.84591059855376,210.0436261343663,214.00061368493263,2573033
